"","V1","V2"
"V1","0.0","0.8"
"V2","0.00100","0.79803"
"V3","0.0020000","0.7936422"
"V4","0.0030000","0.7871908"
"V5","0.004000","0.779231"
"V6","0.0050000","0.7704723"
"V7","0.006000","0.761719"
"V8","0.0070000","0.7538032"
"V9","0.008000","0.747515"
"V10","0.0090000","0.7435358"
"V11","0.0100000","0.7423804"
"V12","0.0110000","0.7443529"
"V13","0.0120000","0.7495192"
"V14","0.0130000","0.7576982"
"V15","0.0140000","0.7684735"
"V16","0.0150000","0.7812232"
"V17","0.0160000","0.7951655"
"V18","0.017000","0.809417"
"V19","0.0180000","0.8230581"
"V20","0.0190000","0.8352005"
"V21","0.0200000","0.8450516"
"V22","0.0210000","0.8519703"
"V23","0.0220000","0.8555107"
"V24","0.0230000","0.8554501"
"V25","0.024000","0.851799"
"V26","0.0250000","0.8447943"
"V27","0.0260000","0.8348754"
"V28","0.0270000","0.8226456"
"V29","0.0280000","0.8088241"
"V30","0.0290000","0.7941904"
"V31","0.0300000","0.7795273"
"V32","0.0310000","0.7655669"
"V33","0.0320000","0.7529428"
"V34","0.0330000","0.7421538"
"V35","0.0340000","0.7335387"
"V36","0.0350000","0.7272665"
"V37","0.0360000","0.7233394"
"V38","0.0370000","0.7216094"
"V39","0.0380000","0.7218046"
"V40","0.0390000","0.7235638"
"V41","0.0400000","0.7264746"
"V42","0.0410000","0.7301125"
"V43","0.0420000","0.7340765"
"V44","0.0430000","0.7380196"
"V45","0.0440000","0.7416705"
"V46","0.0450000","0.7448461"
"V47","0.0460000","0.7474541"
"V48","0.0470000","0.7494867"
"V49","0.0480000","0.7510054"
"V50","0.0490000","0.7521207"
"V51","0.0500000","0.7529687"
"V52","0.0510000","0.7536859"
"V53","0.0520000","0.7543875"
"V54","0.053000","0.755148"
"V55","0.0540000","0.7559896"
"V56","0.0550000","0.7568764"
"V57","0.0560000","0.7577163"
"V58","0.0570000","0.7583693"
"V59","0.0580000","0.7586623"
"V60","0.0590000","0.7584069"
"V61","0.06000","0.75742"
"V62","0.0610000","0.7555435"
"V63","0.0620000","0.7526625"
"V64","0.0630000","0.7487189"
"V65","0.0640000","0.7437197"
"V66","0.0650000","0.7377395"
"V67","0.0660000","0.7309163"
"V68","0.0670000","0.7234419"
"V69","0.0680000","0.7155472"
"V70","0.0690000","0.7074851"
"V71","0.0700000","0.6995105"
"V72","0.0710000","0.6918626"
"V73","0.0720000","0.6847476"
"V74","0.073000","0.678326"
"V75","0.0740000","0.6727047"
"V76","0.0750000","0.6679338"
"V77","0.0760000","0.6640095"
"V78","0.0770000","0.6608811"
"V79","0.0780000","0.6584623"
"V80","0.0790000","0.6566451"
"V81","0.0800000","0.6553147"
"V82","0.0810000","0.6543633"
"V83","0.0820000","0.6537027"
"V84","0.0830000","0.6532732"
"V85","0.0840000","0.6530484"
"V86","0.0850000","0.6530354"
"V87","0.0860000","0.6532714"
"V88","0.0870000","0.6538157"
"V89","0.0880000","0.6547391"
"V90","0.0890000","0.6561121"
"V91","0.0900000","0.6579926"
"V92","0.091000","0.660415"
"V93","0.0920000","0.6633815"
"V94","0.0930000","0.6668579"
"V95","0.0940000","0.6707724"
"V96","0.0950000","0.6750195"
"V97","0.0960000","0.6794681"
