"","V1","V2"
"V1","0","0"
"V2","0.001000000","0.000294245"
"V3"," 0.002000000","-0.000796967"
"V4"," 0.003000000","-0.003198512"
"V5"," 0.004000000","-0.006791841"
"V6"," 0.00500000","-0.01142237"
"V7"," 0.00600000","-0.01690899"
"V8"," 0.00700000","-0.02305501"
"V9"," 0.00800000","-0.02965966"
"V10"," 0.00900000","-0.03652946"
"V11"," 0.01000000","-0.04348854"
"V12"," 0.01100000","-0.05038734"
"V13"," 0.01200000","-0.05710907"
"V14"," 0.01300000","-0.06357379"
"V15"," 0.01400000","-0.06973979"
"V16"," 0.0150000","-0.0756025"
"V17"," 0.01600000","-0.08119119"
"V18"," 0.01700000","-0.08656381"
"V19"," 0.01800000","-0.09180051"
"V20"," 0.01900000","-0.09699647"
"V21"," 0.0200000","-0.1022545"
"V22"," 0.0210000","-0.1076777"
"V23"," 0.0220000","-0.1133633"
"V24"," 0.0230000","-0.1193967"
"V25"," 0.0240000","-0.1258473"
"V26"," 0.0250000","-0.1327648"
"V27"," 0.0260000","-0.1401772"
"V28"," 0.0270000","-0.1480896"
"V29"," 0.0280000","-0.1564833"
"V30"," 0.0290000","-0.1653163"
"V31"," 0.0300000","-0.1745242"
"V32"," 0.0310000","-0.1840215"
"V33"," 0.032000","-0.193704"
"V34"," 0.033000","-0.203451"
"V35"," 0.0340000","-0.2131292"
"V36"," 0.0350000","-0.2225973"
"V37"," 0.0360000","-0.2317105"
"V38"," 0.0370000","-0.2403279"
"V39"," 0.0380000","-0.2483182"
"V40"," 0.0390000","-0.2555681"
"V41"," 0.0400000","-0.2619891"
"V42"," 0.041000","-0.267525"
"V43"," 0.0420000","-0.2721571"
"V44"," 0.0430000","-0.2759082"
"V45"," 0.0440000","-0.2788444"
"V46"," 0.045000","-0.281073"
"V47"," 0.0460000","-0.2827373"
"V48"," 0.0470000","-0.2840085"
"V49"," 0.0480000","-0.2850729"
"V50"," 0.0490000","-0.2861177"
"V51"," 0.0500000","-0.2873136"
"V52"," 0.0510000","-0.2887978"
"V53"," 0.0520000","-0.2906563"
"V54"," 0.0530000","-0.2929094"
"V55"," 0.0540000","-0.2955005"
"V56"," 0.0550000","-0.2982896"
"V57"," 0.0560000","-0.3010538"
"V58"," 0.0570000","-0.3034936"
"V59"," 0.0580000","-0.3052475"
"V60"," 0.0590000","-0.3059126"
"V61"," 0.060000","-0.305071"
"V62"," 0.0610000","-0.3023207"
"V63"," 0.062000","-0.297309"
"V64"," 0.0630000","-0.2897646"
"V65"," 0.0640000","-0.2795285"
"V66"," 0.065000","-0.266578"
"V67"," 0.0660000","-0.2510444"
"V68"," 0.06700","-0.23322"
"V69"," 0.0680000","-0.2135557"
"V70"," 0.0690000","-0.1926456"
"V71"," 0.0700000","-0.1712024"
"V72"," 0.071000","-0.150022"
"V73"," 0.0720000","-0.1299409"
"V74"," 0.0730000","-0.1117885"
"V75"," 0.07400000","-0.09633824"
"V76"," 0.07500000","-0.08425986"
"V77"," 0.07600000","-0.07607767"
"V78"," 0.07700000","-0.07213691"
"V79"," 0.07800000","-0.07258141"
"V80"," 0.07900000","-0.07734422"
"V81"," 0.08000000","-0.08615215"
"V82"," 0.08100000","-0.09854392"
"V83"," 0.0820000","-0.1139009"
"V84"," 0.0830000","-0.1314879"
"V85"," 0.0840000","-0.1505017"
"V86"," 0.0850000","-0.1701223"
"V87"," 0.0860000","-0.1895648"
"V88"," 0.0870000","-0.2081263"
"V89"," 0.0880000","-0.2252256"
"V90"," 0.0890000","-0.2404321"
"V91"," 0.0900000","-0.2534818"
"V92"," 0.0910000","-0.2642799"
"V93"," 0.09200","-0.27289"
"V94"," 0.0930000","-0.2795111"
"V95"," 0.094000","-0.284445"
"V96"," 0.0950000","-0.2880569"
"V97"," 0.0960000","-0.2907333"
"V98"," 0.0970000","-0.2928407"
"V99"," 0.0980000","-0.2946893"
"V100"," 0.0990000","-0.2965049"
"V101"," 0.1000000","-0.2984105"
"V102"," 0.1010000","-0.3004214"
"V103"," 0.1020000","-0.3024517"
"V104"," 0.1030000","-0.3043326"
"V105"," 0.1040000","-0.3058406"
"V106"," 0.1050000","-0.3067327"
"V107"," 0.1060000","-0.3067841"
"V108"," 0.1070000","-0.3058257"
"V109"," 0.1080000","-0.3037764"
"V110"," 0.1090000","-0.3006677"
"V111"," 0.1100000","-0.2966565"
"V112"," 0.1110000","-0.2920246"
"V113"," 0.1120000","-0.2871659"
"V114"," 0.1130000","-0.2825585"
"V115"," 0.1140000","-0.2787272"
"V116"," 0.1150000","-0.2761972"
"V117"," 0.1160000","-0.2754434"
"V118"," 0.1170000","-0.2768407"
"V119"," 0.1180000","-0.2806183"
"V120"," 0.1190000","-0.2868241"
"V121"," 0.120000","-0.295302"
"V122"," 0.1210000","-0.3056845"
"V123"," 0.1220000","-0.3174033"
"V124"," 0.1230000","-0.3297168"
"V125"," 0.1240000","-0.3417534"
"V126"," 0.1250000","-0.3525678"
"V127"," 0.1260000","-0.3612063"
"V128"," 0.1270000","-0.3667757"
"V129"," 0.1280000","-0.3685109"
"V130"," 0.1290000","-0.3658349"
"V131"," 0.1300000","-0.3584079"
"V132"," 0.1310000","-0.3461592"
"V133"," 0.1320000","-0.3293003"
"V134"," 0.1330000","-0.3083178"
"V135"," 0.1340000","-0.2839457"
"V136"," 0.1350000","-0.2571195"
"V137"," 0.1360000","-0.2289148"
"V138"," 0.1370000","-0.2004761"
"V139"," 0.1380000","-0.1729405"
"V140"," 0.1390000","-0.1473619"
"V141"," 0.1400000","-0.1246428"
"V142"," 0.1410000","-0.1054774"
"V143"," 0.14200000","-0.09031239"
"V144"," 0.14300000","-0.07932589"
"V145"," 0.14400000","-0.07242813"
"V146"," 0.14500000","-0.06928238"
"V147"," 0.1460000","-0.0693445"
"V148"," 0.14700000","-0.07191755"
"V149"," 0.14800000","-0.07621686"
"V150"," 0.14900000","-0.08143993"
"V151"," 0.15000000","-0.08683548"
"V152"," 0.15100000","-0.09176589"
"V153"," 0.15200000","-0.09575794"
"V154"," 0.153000","-0.098538"
"V155"," 0.1540000","-0.1000488"
"V156"," 0.155000","-0.100447"
"V157"," 0.1560000","-0.1000819"
"V158"," 0.15700000","-0.09945796"
"V159"," 0.15800000","-0.09918346"
"V160"," 0.15900000","-0.09991181"
"V161"," 0.160000","-0.102279"
"V162"," 0.1610000","-0.1068433"
"V163"," 0.1620000","-0.1140329"
"V164"," 0.1630000","-0.1241046"
"V165"," 0.164000","-0.137118"
"V166"," 0.1650000","-0.1529266"
"V167"," 0.1660000","-0.1711867"
"V168"," 0.1670000","-0.1913818"
"V169"," 0.1680000","-0.2128617"
"V170"," 0.1690000","-0.2348918"
"V171"," 0.1700000","-0.2567075"
"V172"," 0.1710000","-0.2775701"
"V173"," 0.1720000","-0.2968187"
"V174"," 0.1730000","-0.3139133"
"V175"," 0.1740000","-0.3284673"
"V176"," 0.1750000","-0.3402639"
"V177"," 0.1760000","-0.3492593"
"V178"," 0.1770000","-0.3555696"
"V179"," 0.1780000","-0.3594451"
"V180"," 0.1790000","-0.3612342"
"V181"," 0.1800000","-0.3613405"
"V182"," 0.1810000","-0.3601782"
"V183"," 0.1820000","-0.3581288"
"V184"," 0.1830000","-0.3555044"
"V185"," 0.1840000","-0.3525203"
"V186"," 0.1850000","-0.3492801"
"V187"," 0.1860000","-0.3457733"
"V188"," 0.1870000","-0.3418866"
"V189"," 0.1880000","-0.3374266"
"V190"," 0.1890000","-0.3321524"
"V191"," 0.1900000","-0.3258132"
"V192"," 0.1910000","-0.3181889"
"V193"," 0.1920000","-0.3091274"
"V194"," 0.1930000","-0.2985768"
"V195"," 0.1940000","-0.2866072"
"V196"," 0.1950000","-0.2734206"
"V197"," 0.1960000","-0.2593477"
"V198"," 0.1970000","-0.2448311"
"V199"," 0.1980000","-0.2303961"
"V200"," 0.1990000","-0.2166116"
"V201"," 0.2000000","-0.2040447"
"V202"," 0.2010000","-0.1932131"
"V203"," 0.2020000","-0.1845387"
"V204"," 0.2030000","-0.1783084"
"V205"," 0.2040000","-0.1746436"
"V206"," 0.2050000","-0.1734841"
"V207"," 0.2060000","-0.1745855"
"V208"," 0.2070000","-0.1775329"
"V209"," 0.2080000","-0.1817685"
"V210"," 0.2090000","-0.1866323"
"V211"," 0.2100000","-0.1914118"
"V212"," 0.2110000","-0.1953972"
"V213"," 0.2120000","-0.1979372"
"V214"," 0.2130000","-0.1984918"
"V215"," 0.2140000","-0.1966755"
"V216"," 0.2150000","-0.1922901"
