"","V1","V2"
"V1","0.0","0.8"
"V2","0.0010000","0.7993005"
"V3","0.0020000","0.7986016"
"V4","0.0030000","0.7979033"
"V5","0.0040000","0.7972056"
"V6","0.0050000","0.7965085"
"V7","0.006000","0.795812"
"V8","0.0070000","0.7951161"
"V9","0.0080000","0.7944208"
"V10","0.0090000","0.7937261"
"V11","0.010000","0.793032"
"V12","0.0110000","0.7923385"
"V13","0.0120000","0.7916456"
"V14","0.0130000","0.7909533"
"V15","0.0140000","0.7902616"
"V16","0.0150000","0.7895705"
"V17","0.0160000","0.7888801"
"V18","0.0170000","0.7881902"
"V19","0.0180000","0.7875009"
"V20","0.0190000","0.7868122"
"V21","0.0200000","0.7861241"
"V22","0.0210000","0.7854366"
"V23","0.0220000","0.7847498"
"V24","0.0230000","0.7840635"
"V25","0.0240000","0.7833778"
"V26","0.0250000","0.7826927"
"V27","0.0260000","0.7820083"
"V28","0.0270000","0.7813244"
"V29","0.0280000","0.7806411"
"V30","0.0290000","0.7799585"
"V31","0.0300000","0.7792764"
"V32","0.031000","0.778595"
"V33","0.0320000","0.7779141"
"V34","0.0330000","0.7772339"
"V35","0.0340000","0.7765542"
"V36","0.0350000","0.7758752"
"V37","0.0360000","0.7751967"
"V38","0.0370000","0.7745189"
"V39","0.0380000","0.7738417"
"V40","0.0390000","0.7731651"
"V41","0.040000","0.772489"
"V42","0.0410000","0.7718136"
"V43","0.0420000","0.7711388"
"V44","0.0430000","0.7704646"
"V45","0.044000","0.769791"
"V46","0.045000","0.769118"
"V47","0.0460000","0.7684456"
"V48","0.0470000","0.7677738"
"V49","0.0480000","0.7671026"
"V50","0.0490000","0.7664321"
"V51","0.0500000","0.7657621"
"V52","0.0510000","0.7650927"
"V53","0.052000","0.764424"
"V54","0.0530000","0.7637558"
"V55","0.0540000","0.7630883"
"V56","0.0550000","0.7624213"
"V57","0.056000","0.761755"
"V58","0.0570000","0.7610893"
"V59","0.0580000","0.7604241"
"V60","0.0590000","0.7597596"
"V61","0.0600000","0.7590957"
