"","V1","V2"
"V1","0","0"
"V2","0.0010000","0.0103562"
"V3","0.00200000","0.02514911"
"V4","0.00300000","0.06949634"
"V5","0.00400000","0.08076594"
"V6","0.00500000","0.07722217"
"V7","0.0060000","0.1141973"
"V8","0.0070000","0.1745413"
"V9","0.0080000","0.1953967"
"V10","0.0090000","0.2309811"
"V11","0.0100000","0.2670281"
"V12","0.0110000","0.2757313"
"V13","0.0120000","0.2833987"
"V14","0.0130000","0.2533803"
"V15","0.0140000","0.2444701"
"V16","0.0150000","0.2152013"
"V17","0.0160000","0.2095311"
"V18","0.0170000","0.2082433"
"V19","0.0180000","0.2064544"
"V20","0.0190000","0.2280868"
"V21","0.0200000","0.2241607"
"V22","0.0210000","0.2318544"
"V23","0.022000","0.245958"
"V24","0.023000","0.276447"
"V25","0.0240000","0.2687416"
"V26","0.0250000","0.2674712"
"V27","0.0260000","0.2705431"
"V28","0.0270000","0.2896156"
"V29","0.0280000","0.2747418"
"V30","0.0290000","0.2623395"
"V31","0.0300000","0.2558025"
"V32","0.0310000","0.2898996"
"V33","0.0320000","0.2656017"
"V34","0.0330000","0.2458597"
"V35","0.0340000","0.2660799"
"V36","0.0350000","0.2926029"
"V37","0.0360000","0.3181649"
"V38","0.037000","0.348684"
"V39","0.0380000","0.3589367"
"V40","0.0390000","0.3481166"
"V41","0.0400000","0.3549082"
"V42","0.0410000","0.3614197"
"V43","0.0420000","0.3356935"
"V44","0.0430000","0.3149512"
"V45","0.0440000","0.3113087"
"V46","0.0450000","0.3354636"
"V47","0.0460000","0.3496411"
"V48","0.0470000","0.3916524"
"V49","0.048000","0.395104"
"V50","0.0490000","0.4212671"
"V51","0.0500000","0.4237512"
"V52","0.0510000","0.4293893"
"V53","0.0520000","0.4283587"
"V54","0.053000","0.407482"
"V55","0.0540000","0.3895721"
"V56","0.0550000","0.4105765"
"V57","0.0560000","0.4043858"
"V58","0.0570000","0.4628472"
"V59","0.0580000","0.5080722"
"V60","0.0590000","0.5262493"
"V61","0.0600000","0.4806441"
"V62","0.0610000","0.4575224"
"V63","0.0620000","0.4961178"
"V64","0.0630000","0.5741064"
"V65","0.0640000","0.5896063"
"V66","0.065000","0.581086"
"V67","0.0660000","0.5839578"
"V68","0.0670000","0.6614208"
"V69","0.0680000","0.7013148"
"V70","0.0690000","0.6552707"
"V71","0.0700000","0.6541733"
"V72","0.0710000","0.6537518"
"V73","0.0720000","0.6484976"
"V74","0.073000","0.645608"
"V75","0.0740000","0.6621718"
"V76","0.0750000","0.6804315"
"V77","0.0760000","0.6661175"
"V78","0.0770000","0.6396284"
"V79","0.0780000","0.6643939"
"V80","0.0790000","0.6565796"
"V81","0.0800000","0.6414294"
"V82","0.0810000","0.6443962"
"V83","0.0820000","0.6267385"
"V84","0.0830000","0.6452139"
"V85","0.0840000","0.6582373"
"V86","0.0850000","0.6649142"
"V87","0.0860000","0.6605573"
"V88","0.087000","0.652338"
"V89","0.0880000","0.6729491"
"V90","0.0890000","0.6422681"
"V91","0.0900000","0.6880431"
"V92","0.0910000","0.6695603"
"V93","0.0920000","0.6530539"
"V94","0.0930000","0.6542498"
"V95","0.0940000","0.6304215"
"V96","0.0950000","0.6003952"
"V97","0.0960000","0.5627717"
"V98","0.0970000","0.5622433"
"V99","0.0980000","0.5480476"
"V100","0.099000","0.561133"
"V101","0.1000000","0.5128083"
