"","V1","V2","V3"
"V1"," 0","-1","-1"
"V2"," 0.001000","-1.000201","-1.000193"
"V3"," 0.002000","-1.000404","-1.000370"
"V4"," 0.003000","-1.000609","-1.000534"
"V5"," 0.004000","-1.000816","-1.000682"
"V6"," 0.005000","-1.001026","-1.000816"
"V7"," 0.006000","-1.001237","-1.000935"
"V8"," 0.00700","-1.00145","-1.00104"
"V9"," 0.008000","-1.001666","-1.001130"
"V10"," 0.009000","-1.001883","-1.001205"
"V11"," 0.010000","-1.002102","-1.001266"
"V12"," 0.011000","-1.002324","-1.001312"
"V13"," 0.012000","-1.002547","-1.001343"
"V14"," 0.013000","-1.002772","-1.001360"
"V15"," 0.014000","-1.002999","-1.001363"
"V16"," 0.015000","-1.003227","-1.001351"
"V17"," 0.016000","-1.003458","-1.001325"
"V18"," 0.017000","-1.003690","-1.001284"
"V19"," 0.018000","-1.003923","-1.001229"
"V20"," 0.019000","-1.004158","-1.001159"
"V21"," 0.020000","-1.004395","-1.001076"
"V22"," 0.021000","-1.004633","-1.000978"
"V23"," 0.022000","-1.004873","-1.000865"
"V24"," 0.023000","-1.005114","-1.000739"
"V25"," 0.024000","-1.005356","-1.000598"
"V26"," 0.025000","-1.005600","-1.000444"
"V27"," 0.026000","-1.005845","-1.000275"
"V28"," 0.027000","-1.006090","-1.000093"
"V29"," 0.0280000","-1.0063372","-0.9998962"
"V30"," 0.0290000","-1.0065851","-0.9996859"
"V31"," 0.0300000","-1.0068338","-0.9994617"
"V32"," 0.0310000","-1.0070834","-0.9992239"
"V33"," 0.0320000","-1.0073337","-0.9989725"
"V34"," 0.0330000","-1.0075848","-0.9987075"
"V35"," 0.034000","-1.007837","-0.998429"
"V36"," 0.0350000","-1.0080888","-0.9981371"
"V37"," 0.0360000","-1.0083416","-0.9978319"
"V38"," 0.0370000","-1.0085948","-0.9975136"
"V39"," 0.0380000","-1.0088485","-0.9971821"
"V40"," 0.0390000","-1.0091024","-0.9968376"
"V41"," 0.0400000","-1.0093566","-0.9964801"
"V42"," 0.0410000","-1.0096110","-0.9961099"
"V43"," 0.042000","-1.009866","-0.995727"
"V44"," 0.0430000","-1.0101201","-0.9953316"
"V45"," 0.0440000","-1.0103747","-0.9949236"
"V46"," 0.0450000","-1.0106292","-0.9945034"
"V47"," 0.0460000","-1.0108837","-0.9940709"
"V48"," 0.0470000","-1.0111379","-0.9936264"
"V49"," 0.048000","-1.011392","-0.993170"
"V50"," 0.0490000","-1.0116457","-0.9927018"
"V51"," 0.0500000","-1.0118992","-0.9922219"
"V52"," 0.0510000","-1.0121522","-0.9917306"
"V53"," 0.052000","-1.012405","-0.991228"
"V54"," 0.0530000","-1.0126571","-0.9907142"
"V55"," 0.0540000","-1.0129088","-0.9901895"
"V56"," 0.0550000","-1.0131600","-0.9896539"
"V57"," 0.0560000","-1.0134106","-0.9891078"
"V58"," 0.0570000","-1.0136606","-0.9885511"
"V59"," 0.0580000","-1.0139099","-0.9879842"
"V60"," 0.0590000","-1.0141585","-0.9874073"
"V61"," 0.0600000","-1.0144065","-0.9868204"
"V62"," 0.0610000","-1.0146537","-0.9862239"
"V63"," 0.0620000","-1.0149002","-0.9856179"
"V64"," 0.0630000","-1.0151459","-0.9850027"
"V65"," 0.0640000","-1.0153908","-0.9843784"
"V66"," 0.0650000","-1.0156348","-0.9837453"
"V67"," 0.0660000","-1.0158781","-0.9831035"
"V68"," 0.0670000","-1.0161205","-0.9824535"
"V69"," 0.0680000","-1.0163620","-0.9817952"
"V70"," 0.0690000","-1.0166027","-0.9811291"
"V71"," 0.0700000","-1.0168425","-0.9804553"
"V72"," 0.0710000","-1.0170814","-0.9797741"
"V73"," 0.0720000","-1.0173194","-0.9790856"
"V74"," 0.0730000","-1.0175565","-0.9783903"
"V75"," 0.0740000","-1.0177927","-0.9776883"
"V76"," 0.0750000","-1.0180280","-0.9769798"
"V77"," 0.0760000","-1.0182624","-0.9762652"
"V78"," 0.0770000","-1.0184959","-0.9755448"
"V79"," 0.0780000","-1.0187286","-0.9748187"
"V80"," 0.0790000","-1.0189603","-0.9740873"
"V81"," 0.0800000","-1.0191912","-0.9733508"
"V82"," 0.0810000","-1.0194212","-0.9726095"
"V83"," 0.0820000","-1.0196504","-0.9718637"
"V84"," 0.0830000","-1.0198787","-0.9711137"
"V85"," 0.0840000","-1.0201061","-0.9703597"
"V86"," 0.085000","-1.020333","-0.969602"
"V87"," 0.0860000","-1.0205584","-0.9688408"
"V88"," 0.0870000","-1.0207833","-0.9680766"
"V89"," 0.0880000","-1.0210073","-0.9673095"
"V90"," 0.0890000","-1.0212305","-0.9665399"
"V91"," 0.090000","-1.021453","-0.965768"
"V92"," 0.0910000","-1.0216745","-0.9649941"
"V93"," 0.0920000","-1.0218952","-0.9642186"
"V94"," 0.0930000","-1.0221151","-0.9634416"
"V95"," 0.0940000","-1.0223343","-0.9626636"
"V96"," 0.0950000","-1.0225526","-0.9618847"
"V97"," 0.0960000","-1.0227701","-0.9611054"
"V98"," 0.0970000","-1.0229868","-0.9603258"
"V99"," 0.0980000","-1.0232028","-0.9595464"
"V100"," 0.0990000","-1.0234180","-0.9587673"
"V101"," 0.1000000","-1.0236324","-0.9579888"
"V102"," 0.1010000","-1.0238460","-0.9572113"
"V103"," 0.102000","-1.024059","-0.956435"
"V104"," 0.1030000","-1.0242708","-0.9556602"
"V105"," 0.1040000","-1.0244819","-0.9548873"
"V106"," 0.1050000","-1.0246923","-0.9541164"
"V107"," 0.106000","-1.024902","-0.953348"
"V108"," 0.1070000","-1.0251105","-0.9525822"
"V109"," 0.1080000","-1.0253183","-0.9518194"
"V110"," 0.1090000","-1.0255252","-0.9510599"
"V111"," 0.1100000","-1.0257312","-0.9503039"
"V112"," 0.1110000","-1.0259363","-0.9495516"
"V113"," 0.1120000","-1.0261405","-0.9488034"
"V114"," 0.1130000","-1.0263438","-0.9480596"
"V115"," 0.1140000","-1.0265460","-0.9473203"
"V116"," 0.1150000","-1.0267473","-0.9465859"
"V117"," 0.1160000","-1.0269475","-0.9458566"
"V118"," 0.1170000","-1.0271466","-0.9451327"
"V119"," 0.1180000","-1.0273447","-0.9444144"
"V120"," 0.1190000","-1.0275417","-0.9437019"
"V121"," 0.1200000","-1.0277375","-0.9429956"
"V122"," 0.1210000","-1.0279321","-0.9422957"
"V123"," 0.1220000","-1.0281255","-0.9416023"
"V124"," 0.1230000","-1.0283176","-0.9409158"
"V125"," 0.1240000","-1.0285084","-0.9402364"
"V126"," 0.1250000","-1.0286979","-0.9395643"
"V127"," 0.1260000","-1.0288860","-0.9388998"
"V128"," 0.127000","-1.029073","-0.938243"
"V129"," 0.1280000","-1.0292579","-0.9375943"
"V130"," 0.1290000","-1.0294415","-0.9369537"
"V131"," 0.1300000","-1.0296237","-0.9363216"
"V132"," 0.1310000","-1.0298041","-0.9356982"
"V133"," 0.1320000","-1.0299830","-0.9350836"
