"","V1","V2"
"V1","0","1"
"V2","0.001000","1.000533"
"V3","0.002000","1.001683"
"V4","0.003000","1.003366"
"V5","0.004000","1.005483"
"V6","0.005000","1.007925"
"V7","0.006000","1.010567"
"V8","0.007000","1.013271"
"V9","0.008000","1.015888"
"V10","0.009000","1.018251"
"V11","0.010000","1.020201"
"V12","0.01100","1.02165"
"V13","0.012000","1.022537"
"V14","0.013000","1.022835"
"V15","0.014000","1.022561"
"V16","0.015000","1.021765"
"V17","0.016000","1.020571"
"V18","0.01700","1.01913"
"V19","0.0180","1.0176"
"V20","0.019000","1.016153"
"V21","0.020000","1.014967"
"V22","0.021000","1.014233"
"V23","0.022000","1.014133"
"V24","0.023000","1.014785"
"V25","0.024000","1.016271"
"V26","0.025000","1.018617"
"V27","0.026000","1.021793"
"V28","0.027000","1.025709"
"V29","0.028000","1.030231"
"V30","0.029000","1.035156"
"V31","0.030000","1.040235"
"V32","0.031000","1.045219"
"V33","0.032000","1.049864"
"V34","0.033000","1.053927"
"V35","0.034000","1.057171"
"V36","0.035000","1.059391"
"V37","0.036000","1.060466"
"V38","0.037000","1.060326"
"V39","0.038000","1.058971"
"V40","0.039000","1.056467"
"V41","0.040000","1.052946"
"V42","0.041000","1.048607"
"V43","0.042000","1.043683"
"V44","0.043000","1.038456"
"V45","0.044000","1.033225"
"V46","0.045000","1.028254"
"V47","0.046000","1.023772"
"V48","0.047000","1.019975"
"V49","0.048000","1.017025"
"V50","0.049000","1.015027"
"V51","0.050000","1.013975"
"V52","0.051000","1.013805"
"V53","0.052000","1.014414"
"V54","0.05300","1.01566"
"V55","0.054000","1.017358"
"V56","0.055000","1.019286"
"V57","0.056000","1.021222"
"V58","0.057000","1.022973"
"V59","0.058000","1.024369"
"V60","0.059000","1.025291"
"V61","0.060000","1.025673"
"V62","0.061000","1.025501"
"V63","0.062000","1.024813"
"V64","0.063000","1.023695"
"V65","0.06400","1.02227"
"V66","0.065000","1.020721"
"V67","0.06600","1.01922"
"V68","0.067000","1.017921"
"V69","0.068000","1.016958"
"V70","0.069000","1.016451"
"V71","0.0700","1.0165"
"V72","0.071000","1.017151"
"V73","0.072000","1.018371"
"V74","0.073000","1.020098"
"V75","0.074000","1.022243"
"V76","0.075000","1.024695"
"V77","0.076000","1.027317"
"V78","0.07700","1.02995"
"V79","0.078000","1.032438"
"V80","0.079000","1.034662"
"V81","0.080000","1.036519"
"V82","0.081000","1.037942"
"V83","0.082000","1.038894"
"V84","0.083000","1.039373"
"V85","0.084000","1.039411"
"V86","0.085000","1.039066"
"V87","0.086000","1.038407"
"V88","0.087000","1.037524"
"V89","0.088000","1.036498"
"V90","0.089000","1.035395"
"V91","0.090000","1.034266"
"V92","0.091000","1.033148"
"V93","0.092000","1.032063"
"V94","0.093000","1.031024"
"V95","0.094000","1.030014"
"V96","0.095000","1.029011"
"V97","0.096000","1.028011"
"V98","0.097000","1.027022"
"V99","0.098000","1.026072"
"V100","0.099000","1.025202"
"V101","0.100000","1.024469"
"V102","0.101000","1.023957"
"V103","0.102000","1.023805"
"V104","0.103000","1.024137"
"V105","0.104000","1.025068"
"V106","0.105000","1.026693"
"V107","0.106000","1.029095"
"V108","0.107000","1.032341"
"V109","0.108000","1.036459"
"V110","0.109000","1.041376"
"V111","0.110000","1.046971"
"V112","0.11100","1.05308"
"V113","0.112000","1.059498"
"V114","0.11300","1.06598"
"V115","0.114000","1.072238"
"V116","0.115000","1.077956"
"V117","0.116000","1.082867"
"V118","0.117000","1.086708"
"V119","0.118000","1.089277"
"V120","0.119000","1.090457"
"V121","0.120000","1.090206"
"V122","0.121000","1.088567"
"V123","0.122000","1.085658"
"V124","0.123000","1.081657"
"V125","0.124000","1.076847"
"V126","0.125000","1.071587"
"V127","0.126000","1.066215"
"V128","0.12700","1.06105"
"V129","0.128000","1.056388"
"V130","0.129000","1.052507"
"V131","0.13000","1.04966"
"V132","0.131000","1.048003"
"V133","0.132000","1.047549"
"V134","0.133000","1.048251"
"V135","0.134000","1.050001"
"V136","0.135000","1.052634"
"V137","0.136000","1.055926"
"V138","0.137000","1.059594"
"V139","0.138000","1.063329"
"V140","0.139000","1.066884"
"V141","0.140000","1.070016"
"V142","0.141000","1.072549"
"V143","0.142000","1.074379"
"V144","0.14300","1.07547"
"V145","0.144000","1.075857"
"V146","0.145000","1.075645"
"V147","0.146000","1.074967"
"V148","0.147000","1.074052"
"V149","0.148000","1.073135"
"V150","0.149000","1.072419"
"V151","0.150000","1.072072"
"V152","0.151000","1.072222"
"V153","0.152000","1.072968"
"V154","0.153000","1.074369"
"V155","0.154000","1.076393"
"V156","0.155000","1.078895"
"V157","0.156000","1.081712"
"V158","0.157000","1.084665"
"V159","0.158000","1.087566"
"V160","0.159000","1.090213"
"V161","0.16000","1.09239"
"V162","0.161000","1.093906"
"V163","0.162000","1.094681"
"V164","0.163000","1.094684"
"V165","0.164000","1.093944"
"V166","0.165000","1.092545"
"V167","0.166000","1.090629"
"V168","0.167000","1.088396"
"V169","0.168000","1.086097"
"V170","0.169000","1.083956"
"V171","0.170000","1.082213"
"V172","0.171000","1.081068"
"V173","0.172000","1.080654"
"V174","0.17300","1.08104"
"V175","0.174000","1.082232"
"V176","0.17500","1.08417"
"V177","0.176000","1.086746"
"V178","0.177000","1.089777"
"V179","0.178000","1.093004"
"V180","0.179000","1.096189"
"V181","0.180000","1.099122"
"V182","0.181000","1.101617"
"V183","0.182000","1.103515"
"V184","0.183000","1.104683"
"V185","0.18400","1.10505"
"V186","0.185000","1.104685"
"V187","0.186000","1.103717"
"V188","0.187000","1.102307"
"V189","0.188000","1.100649"
"V190","0.189000","1.098975"
"V191","0.190000","1.097546"
"V192","0.19100","1.09665"
"V193","0.192000","1.096492"
"V194","0.193000","1.097231"
"V195","0.194000","1.098963"
"V196","0.19500","1.10171"
"V197","0.196000","1.105418"
"V198","0.197000","1.109959"
"V199","0.198000","1.115132"
"V200","0.199000","1.120697"
"V201","0.200000","1.126371"
"V202","0.201000","1.131838"
"V203","0.20200","1.13683"
"V204","0.203000","1.141128"
"V205","0.204000","1.144564"
"V206","0.205000","1.147019"
"V207","0.206000","1.148423"
"V208","0.207000","1.148787"
"V209","0.208000","1.148262"
"V210","0.20900","1.14703"
"V211","0.210000","1.145297"
"V212","0.211000","1.143285"
"V213","0.212000","1.141234"
"V214","0.213000","1.139404"
"V215","0.214000","1.138053"
"V216","0.215000","1.137339"
"V217","0.216000","1.137373"
"V218","0.217000","1.138209"
"V219","0.218000","1.139846"
"V220","0.219000","1.142226"
"V221","0.220000","1.145232"
"V222","0.221000","1.148694"
"V223","0.222000","1.152428"
"V224","0.223000","1.156232"
"V225","0.224000","1.159904"
"V226","0.225000","1.163278"
"V227","0.226000","1.166225"
"V228","0.227000","1.168652"
"V229","0.228000","1.170502"
"V230","0.229000","1.171754"
"V231","0.230000","1.172429"
"V232","0.231000","1.172614"
"V233","0.2320","1.1724"
"V234","0.233000","1.171873"
"V235","0.234000","1.171117"
"V236","0.235000","1.170213"
"V237","0.236000","1.169238"
"V238","0.237000","1.168258"
"V239","0.238000","1.167276"
"V240","0.239000","1.166273"
"V241","0.240000","1.165221"
"V242","0.241000","1.164087"
"V243","0.24200","1.16283"
"V244","0.243000","1.161403"
"V245","0.244000","1.159752"
"V246","0.245000","1.157858"
"V247","0.246000","1.155739"
"V248","0.24700","1.15344"
"V249","0.248000","1.151025"
"V250","0.249000","1.148583"
"V251","0.250000","1.146225"
"V252","0.251000","1.144084"
"V253","0.252000","1.142303"
"V254","0.253000","1.140998"
"V255","0.25400","1.14028"
"V256","0.255000","1.140224"
"V257","0.256000","1.140863"
"V258","0.257000","1.142194"
"V259","0.25800","1.14417"
"V260","0.259000","1.146707"
"V261","0.260000","1.149703"
"V262","0.261000","1.152995"
"V263","0.262000","1.156409"
"V264","0.26300","1.15979"
"V265","0.264000","1.163002"
"V266","0.265000","1.165929"
"V267","0.266000","1.168473"
"V268","0.267000","1.170557"
"V269","0.268000","1.172172"
"V270","0.269000","1.173381"
"V271","0.270000","1.174268"
"V272","0.271000","1.174939"
"V273","0.272000","1.175517"
"V274","0.273000","1.176145"
"V275","0.274000","1.176985"
"V276","0.275000","1.178187"
"V277","0.276000","1.179845"
"V278","0.277000","1.182026"
"V279","0.278000","1.184753"
"V280","0.279000","1.188002"
"V281","0.280000","1.191704"
"V282","0.281000","1.195744"
"V283","0.282000","1.199963"
"V284","0.283000","1.204197"
"V285","0.284000","1.208228"
"V286","0.285000","1.211854"
"V287","0.286000","1.214902"
"V288","0.287000","1.217231"
"V289","0.288000","1.218731"
"V290","0.28900","1.21932"
"V291","0.290000","1.218955"
"V292","0.291000","1.217673"
"V293","0.292000","1.215573"
"V294","0.293000","1.212778"
"V295","0.294000","1.209437"
"V296","0.29500","1.20572"
"V297","0.296000","1.201822"
"V298","0.297000","1.197963"
"V299","0.298000","1.194334"
"V300","0.299000","1.191109"
"V301","0.300000","1.188435"
"V302","0.301000","1.186424"
"V303","0.302000","1.185149"
"V304","0.303000","1.184647"
"V305","0.304000","1.184917"
"V306","0.305000","1.185926"
"V307","0.30600","1.18761"
"V308","0.307000","1.189869"
"V309","0.308000","1.192596"
"V310","0.309000","1.195683"
"V311","0.310000","1.199021"
"V312","0.311000","1.202496"
"V313","0.312000","1.205994"
"V314","0.313000","1.209412"
"V315","0.314000","1.212661"
"V316","0.315000","1.215664"
"V317","0.316000","1.218353"
"V318","0.317000","1.220674"
"V319","0.318000","1.222584"
"V320","0.319000","1.224053"
"V321","0.320000","1.225064"
"V322","0.321000","1.225617"
"V323","0.322000","1.225729"
"V324","0.323000","1.225437"
"V325","0.324000","1.224792"
"V326","0.325000","1.223866"
"V327","0.326000","1.222747"
"V328","0.327000","1.221543"
"V329","0.328000","1.220366"
"V330","0.329000","1.219347"
"V331","0.330000","1.218632"
"V332","0.331000","1.218344"
"V333","0.332000","1.218589"
"V334","0.333000","1.219449"
"V335","0.334000","1.220988"
"V336","0.335000","1.223249"
"V337","0.336000","1.226222"
"V338","0.337000","1.229826"
"V339","0.338000","1.233946"
"V340","0.339000","1.238433"
"V341","0.340000","1.243103"
"V342","0.34100","1.24774"
"V343","0.342000","1.252098"
"V344","0.343000","1.255915"
"V345","0.344000","1.258963"
"V346","0.345000","1.261008"
"V347","0.346000","1.261871"
"V348","0.347000","1.261435"
"V349","0.34800","1.25964"
"V350","0.349000","1.256486"
"V351","0.350000","1.252033"
"V352","0.351000","1.246391"
"V353","0.352000","1.239792"
"V354","0.353000","1.232503"
"V355","0.354000","1.224798"
"V356","0.355000","1.216962"
"V357","0.356000","1.209285"
"V358","0.357000","1.202067"
"V359","0.358000","1.195598"
"V360","0.359000","1.190076"
"V361","0.360000","1.185646"
"V362","0.361000","1.182392"
"V363","0.362000","1.180333"
"V364","0.363000","1.179428"
"V365","0.36400","1.17957"
"V366","0.365000","1.180591"
"V367","0.366000","1.182305"
"V368","0.367000","1.184482"
"V369","0.368000","1.186882"
"V370","0.369000","1.189301"
"V371","0.370000","1.191568"
"V372","0.371000","1.193544"
"V373","0.372000","1.195126"
"V374","0.373000","1.196243"
"V375","0.37400","1.19689"
"V376","0.375000","1.197144"
"V377","0.376000","1.197095"
"V378","0.377000","1.196845"
"V379","0.378000","1.196506"
"V380","0.379000","1.196197"
"V381","0.380000","1.196052"
"V382","0.381000","1.196185"
"V383","0.382000","1.196647"
"V384","0.383000","1.197459"
"V385","0.384000","1.198609"
"V386","0.385000","1.200054"
"V387","0.386000","1.201713"
"V388","0.387000","1.203475"
"V389","0.3880","1.2052"
"V390","0.389000","1.206759"
"V391","0.390000","1.208008"
"V392","0.391000","1.208831"
"V393","0.39200","1.20914"
"V394","0.393000","1.208887"
"V395","0.394000","1.208052"
"V396","0.395000","1.206653"
"V397","0.396000","1.204731"
"V398","0.397000","1.202379"
"V399","0.398000","1.199721"
"V400","0.399000","1.196875"
"V401","0.400000","1.193955"
"V402","0.401000","1.191067"
"V403","0.402000","1.188313"
"V404","0.403000","1.185787"
"V405","0.404000","1.183549"
"V406","0.405000","1.181607"
"V407","0.40600","1.17995"
"V408","0.40700","1.17855"
"V409","0.408000","1.177364"
"V410","0.409000","1.176332"
"V411","0.410000","1.175375"
"V412","0.411000","1.174414"
"V413","0.412000","1.173395"
"V414","0.413000","1.172279"
"V415","0.414000","1.171047"
"V416","0.415000","1.169702"
"V417","0.41600","1.16827"
"V418","0.417000","1.166797"
"V419","0.418000","1.165351"
"V420","0.419000","1.164002"
"V421","0.420000","1.162828"
"V422","0.421000","1.161904"
"V423","0.422000","1.161288"
"V424","0.423000","1.161026"
"V425","0.424000","1.161149"
"V426","0.425000","1.161673"
"V427","0.426000","1.162602"
"V428","0.427000","1.163928"
"V429","0.428000","1.165621"
"V430","0.429000","1.167664"
"V431","0.430000","1.170046"
"V432","0.431000","1.172766"
"V433","0.432000","1.175832"
"V434","0.43300","1.17926"
"V435","0.434000","1.183071"
"V436","0.435000","1.187324"
"V437","0.436000","1.192078"
"V438","0.437000","1.197367"
"V439","0.438000","1.203206"
"V440","0.439000","1.209586"
"V441","0.440000","1.216477"
"V442","0.441000","1.223828"
"V443","0.442000","1.231517"
"V444","0.443000","1.239354"
"V445","0.444000","1.247124"
"V446","0.445000","1.254595"
"V447","0.446000","1.261514"
"V448","0.447000","1.267609"
"V449","0.448000","1.272589"
"V450","0.4490","1.2762"
"V451","0.450000","1.278244"
"V452","0.451000","1.278573"
"V453","0.452000","1.277127"
"V454","0.453000","1.273934"
"V455","0.45400","1.26911"
"V456","0.45500","1.26286"
"V457","0.45600","1.25546"
"V458","0.45700","1.24725"
"V459","0.458000","1.238689"
"V460","0.459000","1.230214"
"V461","0.460000","1.222227"
"V462","0.461000","1.215098"
"V463","0.462000","1.209158"
"V464","0.463000","1.204708"
"V465","0.464000","1.201964"
"V466","0.465000","1.200962"
"V467","0.466000","1.201645"
"V468","0.467000","1.203876"
"V469","0.468000","1.207443"
"V470","0.469000","1.212057"
"V471","0.470000","1.217352"
"V472","0.4710","1.2229"
"V473","0.472000","1.228332"
"V474","0.473000","1.233266"
"V475","0.474000","1.237391"
"V476","0.475000","1.240485"
"V477","0.476000","1.242412"
"V478","0.477000","1.243126"
"V479","0.47800","1.24267"
"V480","0.47900","1.24115"
"V481","0.480000","1.238798"
"V482","0.481000","1.235916"
"V483","0.482000","1.232794"
"V484","0.48300","1.22971"
"V485","0.484000","1.226927"
"V486","0.485000","1.224699"
"V487","0.486000","1.223262"
"V488","0.487000","1.222743"
"V489","0.488000","1.223159"
"V490","0.489000","1.224469"
"V491","0.490000","1.226583"
"V492","0.491000","1.229353"
"V493","0.492000","1.232582"
"V494","0.493000","1.236016"
"V495","0.494000","1.239395"
"V496","0.495000","1.242505"
"V497","0.496000","1.245141"
"V498","0.497000","1.247155"
"V499","0.498000","1.248459"
"V500","0.499000","1.249019"
"V501","0.50000","1.24886"
"V502","0.50100","1.24806"
"V503","0.502000","1.246724"
"V504","0.503000","1.245029"
"V505","0.504000","1.243143"
"V506","0.505000","1.241218"
"V507","0.506000","1.239382"
"V508","0.507000","1.237744"
"V509","0.508000","1.236395"
"V510","0.509000","1.235397"
"V511","0.510000","1.234735"
"V512","0.511000","1.234353"
"V513","0.512000","1.234187"
"V514","0.513000","1.234166"
"V515","0.51400","1.23421"
"V516","0.515000","1.234235"
"V517","0.516000","1.234148"
"V518","0.517000","1.233897"
"V519","0.518000","1.233484"
"V520","0.519000","1.232928"
"V521","0.520000","1.232264"
"V522","0.521000","1.231548"
"V523","0.522000","1.230853"
"V524","0.523000","1.230269"
"V525","0.524000","1.229885"
"V526","0.525000","1.229748"
"V527","0.526000","1.229884"
"V528","0.527000","1.230288"
"V529","0.528000","1.230919"
"V530","0.529000","1.231705"
"V531","0.53000","1.23254"
"V532","0.531000","1.233287"
"V533","0.532000","1.233823"
"V534","0.533000","1.233998"
"V535","0.534000","1.233695"
"V536","0.535000","1.232843"
"V537","0.536000","1.231422"
"V538","0.537000","1.229455"
"V539","0.538000","1.227017"
"V540","0.539000","1.224218"
"V541","0.540000","1.221254"
"V542","0.541000","1.218379"
"V543","0.542000","1.215837"
"V544","0.54300","1.21386"
"V545","0.544000","1.212666"
"V546","0.545000","1.212463"
"V547","0.546000","1.213443"
"V548","0.547000","1.215711"
"V549","0.548000","1.219268"
"V550","0.549000","1.224052"
"V551","0.550000","1.229939"
"V552","0.551000","1.236739"
"V553","0.5520","1.2442"
"V554","0.553000","1.252005"
"V555","0.554000","1.259814"
"V556","0.555000","1.267302"
"V557","0.556000","1.274134"
"V558","0.557000","1.280036"
"V559","0.558000","1.284797"
"V560","0.559000","1.288268"
"V561","0.560000","1.290361"
"V562","0.561000","1.291049"
"V563","0.56200","1.29037"
"V564","0.563000","1.288465"
"V565","0.564000","1.285505"
"V566","0.56500","1.28167"
"V567","0.566000","1.277147"
