"","V1","V2","V3"
"V1","0","1","1"
"V2","0.0010000","0.9991894","0.9992082"
"V3","0.0020000","0.9983580","0.9984331"
"V4","0.0030000","0.9975057","0.9976745"
"V5","0.0040000","0.9966324","0.9969325"
"V6","0.0050000","0.9957384","0.9962071"
"V7","0.0060000","0.9948235","0.9954980"
"V8","0.0070000","0.9938878","0.9948054"
"V9","0.0080000","0.9929314","0.9941291"
"V10","0.0090000","0.9919543","0.9934689"
"V11","0.0100000","0.9909565","0.9928249"
"V12","0.0110000","0.9899380","0.9921968"
"V13","0.0120000","0.9888990","0.9915845"
"V14","0.0130000","0.9878395","0.9909880"
"V15","0.0140000","0.9867596","0.9904069"
"V16","0.0150000","0.9856592","0.9898413"
"V17","0.0160000","0.9845386","0.9892909"
"V18","0.0170000","0.9833977","0.9887555"
"V19","0.0180000","0.9822367","0.9882349"
"V20","0.0190000","0.9810556","0.9877289"
"V21","0.0200000","0.9798545","0.9872372"
"V22","0.0210000","0.9786335","0.9867598"
"V23","0.0220000","0.9773927","0.9862962"
"V24","0.0230000","0.9761322","0.9858463"
"V25","0.0240000","0.9748521","0.9854098"
"V26","0.0250000","0.9735526","0.9849864"
"V27","0.0260000","0.9722337","0.9845759"
"V28","0.0270000","0.9708955","0.9841779"
"V29","0.0280000","0.9695382","0.9837922"
"V30","0.0290000","0.9681620","0.9834184"
"V31","0.0300000","0.9667669","0.9830563"
"V32","0.0310000","0.9653531","0.9827054"
"V33","0.0320000","0.9639207","0.9823656"
"V34","0.0330000","0.9624699","0.9820363"
"V35","0.0340000","0.9610008","0.9817174"
"V36","0.0350000","0.9595136","0.9814085"
"V37","0.0360000","0.9580084","0.9811091"
"V38","0.0370000","0.9564855","0.9808190"
"V39","0.0380000","0.9549450","0.9805378"
"V40","0.0390000","0.9533870","0.9802651"
"V41","0.0400000","0.9518117","0.9800005"
"V42","0.0410000","0.9502194","0.9797437"
"V43","0.0420000","0.9486102","0.9794942"
"V44","0.0430000","0.9469843","0.9792518"
"V45","0.0440000","0.9453418","0.9790159"
"V46","0.0450000","0.9436831","0.9787861"
"V47","0.0460000","0.9420083","0.9785623"
"V48","0.0470000","0.9403176","0.9783439"
"V49","0.0480000","0.9386112","0.9781305"
"V50","0.0490000","0.9368894","0.9779217"
