"","V1","V2","V3"
"V1"," 0.0","-0.5","-0.5"
"V2"," 0.0010000","-0.5001529","-0.5001619"
"V3"," 0.0020000","-0.5003118","-0.5003479"
"V4"," 0.0030000","-0.5004768","-0.5005578"
"V5"," 0.0040000","-0.5006477","-0.5007916"
"V6"," 0.0050000","-0.5008246","-0.5010494"
"V7"," 0.0060000","-0.5010074","-0.5013309"
"V8"," 0.0070000","-0.5011962","-0.5016362"
"V9"," 0.0080000","-0.5013910","-0.5019651"
"V10"," 0.0090000","-0.5015918","-0.5023175"
"V11"," 0.0100000","-0.5017985","-0.5026932"
"V12"," 0.0110000","-0.5020111","-0.5030923"
"V13"," 0.0120000","-0.5022296","-0.5035144"
"V14"," 0.0130000","-0.5024540","-0.5039594"
"V15"," 0.0140000","-0.5026843","-0.5044271"
"V16"," 0.0150000","-0.5029205","-0.5049174"
"V17"," 0.0160000","-0.5031626","-0.5054301"
"V18"," 0.0170000","-0.5034105","-0.5059648"
"V19"," 0.0180000","-0.5036642","-0.5065214"
"V20"," 0.0190000","-0.5039238","-0.5070996"
"V21"," 0.0200000","-0.5041891","-0.5076991"
"V22"," 0.0210000","-0.5044602","-0.5083197"
"V23"," 0.0220000","-0.5047370","-0.5089611"
"V24"," 0.0230000","-0.5050196","-0.5096229"
"V25"," 0.0240000","-0.5053079","-0.5103049"
"V26"," 0.0250000","-0.5056019","-0.5110066"
"V27"," 0.0260000","-0.5059015","-0.5117279"
"V28"," 0.0270000","-0.5062068","-0.5124683"
"V29"," 0.0280000","-0.5065177","-0.5132274"
"V30"," 0.0290000","-0.5068341","-0.5140049"
"V31"," 0.0300000","-0.5071562","-0.5148004"
"V32"," 0.0310000","-0.5074838","-0.5156134"
"V33"," 0.0320000","-0.5078169","-0.5164436"
"V34"," 0.0330000","-0.5081555","-0.5172905"
"V35"," 0.0340000","-0.5084996","-0.5181536"
"V36"," 0.0350000","-0.5088492","-0.5190326"
"V37"," 0.0360000","-0.5092041","-0.5199270"
"V38"," 0.0370000","-0.5095645","-0.5208363"
"V39"," 0.0380000","-0.5099302","-0.5217600"
"V40"," 0.0390000","-0.5103013","-0.5226977"
"V41"," 0.0400000","-0.5106777","-0.5236489"
"V42"," 0.0410000","-0.5110594","-0.5246130"
"V43"," 0.0420000","-0.5114464","-0.5255897"
"V44"," 0.0430000","-0.5118387","-0.5265782"
"V45"," 0.0440000","-0.5122362","-0.5275782"
"V46"," 0.0450000","-0.5126389","-0.5285891"
"V47"," 0.0460000","-0.5130468","-0.5296103"
"V48"," 0.0470000","-0.5134598","-0.5306413"
"V49"," 0.0480000","-0.5138780","-0.5316815"
"V50"," 0.0490000","-0.5143012","-0.5327304"
"V51"," 0.0500000","-0.5147296","-0.5337873"
"V52"," 0.0510000","-0.5151630","-0.5348518"
"V53"," 0.0520000","-0.5156015","-0.5359234"
"V54"," 0.0530000","-0.5160450","-0.5370013"
"V55"," 0.0540000","-0.5164934","-0.5380850"
"V56"," 0.0550000","-0.5169469","-0.5391739"
"V57"," 0.0560000","-0.5174053","-0.5402673"
"V58"," 0.0570000","-0.5178686","-0.5413647"
"V59"," 0.0580000","-0.5183368","-0.5424655"
"V60"," 0.0590000","-0.5188099","-0.5435691"
"V61"," 0.0600000","-0.5192879","-0.5446748"
"V62"," 0.0610000","-0.5197707","-0.5457821"
"V63"," 0.0620000","-0.5202583","-0.5468904"
"V64"," 0.0630000","-0.5207507","-0.5479991"
"V65"," 0.0640000","-0.5212479","-0.5491076"
"V66"," 0.0650000","-0.5217498","-0.5502153"
"V67"," 0.0660000","-0.5222564","-0.5513216"
"V68"," 0.0670000","-0.5227676","-0.5524259"
"V69"," 0.0680000","-0.5232836","-0.5535277"
"V70"," 0.0690000","-0.5238041","-0.5546264"
"V71"," 0.0700000","-0.5243293","-0.5557213"
"V72"," 0.071000","-0.524859","-0.556812"
"V73"," 0.0720000","-0.5253932","-0.5578977"
"V74"," 0.0730000","-0.5259320","-0.5589781"
"V75"," 0.0740000","-0.5264752","-0.5600523"
"V76"," 0.0750000","-0.5270229","-0.5611200"
"V77"," 0.0760000","-0.5275750","-0.5621806"
"V78"," 0.0770000","-0.5281314","-0.5632333"
"V79"," 0.0780000","-0.5286922","-0.5642778"
"V80"," 0.0790000","-0.5292573","-0.5653134"
"V81"," 0.0800000","-0.5298267","-0.5663397"
"V82"," 0.0810000","-0.5304003","-0.5673562"
"V83"," 0.0820000","-0.5309781","-0.5683623"
"V84"," 0.0830000","-0.5315600","-0.5693575"
"V85"," 0.0840000","-0.5321461","-0.5703414"
"V86"," 0.0850000","-0.5327361","-0.5713134"
"V87"," 0.0860000","-0.5333302","-0.5722730"
"V88"," 0.0870000","-0.5339282","-0.5732198"
"V89"," 0.0880000","-0.5345302","-0.5741533"
"V90"," 0.0890000","-0.5351359","-0.5750731"
"V91"," 0.0900000","-0.5357455","-0.5759788"
"V92"," 0.0910000","-0.5363588","-0.5768699"
"V93"," 0.0920000","-0.5369758","-0.5777460"
"V94"," 0.0930000","-0.5375963","-0.5786067"
"V95"," 0.0940000","-0.5382204","-0.5794518"
"V96"," 0.0950000","-0.5388480","-0.5802807"
"V97"," 0.0960000","-0.5394790","-0.5810932"
"V98"," 0.0970000","-0.5401133","-0.5818890"
"V99"," 0.0980000","-0.5407509","-0.5826677"
"V100"," 0.0990000","-0.5413916","-0.5834289"
"V101"," 0.1000000","-0.5420354","-0.5841726"
"V102"," 0.1010000","-0.5426823","-0.5848982"
"V103"," 0.1020000","-0.5433320","-0.5856057"
"V104"," 0.1030000","-0.5439846","-0.5862947"
"V105"," 0.1040000","-0.5446400","-0.5869649"
"V106"," 0.1050000","-0.5452980","-0.5876163"
"V107"," 0.1060000","-0.5459586","-0.5882485"
"V108"," 0.1070000","-0.5466217","-0.5888614"
"V109"," 0.1080000","-0.5472871","-0.5894548"
"V110"," 0.1090000","-0.5479548","-0.5900284"
"V111"," 0.1100000","-0.5486247","-0.5905823"
"V112"," 0.1110000","-0.5492967","-0.5911161"
"V113"," 0.1120000","-0.5499706","-0.5916299"
"V114"," 0.1130000","-0.5506465","-0.5921234"
"V115"," 0.1140000","-0.5513241","-0.5925966"
"V116"," 0.1150000","-0.5520033","-0.5930495"
"V117"," 0.116000","-0.552684","-0.593482"
"V118"," 0.1170000","-0.5533661","-0.5938942"
"V119"," 0.1180000","-0.5540495","-0.5942860"
"V120"," 0.1190000","-0.5547340","-0.5946574"
"V121"," 0.1200000","-0.5554195","-0.5950086"
"V122"," 0.1210000","-0.5561058","-0.5953394"
"V123"," 0.1220000","-0.5567929","-0.5956500"
"V124"," 0.1230000","-0.5574806","-0.5959404"
"V125"," 0.1240000","-0.5581688","-0.5962108"
"V126"," 0.1250000","-0.5588573","-0.5964611"
"V127"," 0.1260000","-0.5595461","-0.5966915"
"V128"," 0.1270000","-0.5602349","-0.5969022"
