"","V1","V2"
"V1","0.0","0.1"
"V2","0.00100000","0.09993888"
"V3","0.00200000","0.09973815"
"V4","0.00300000","0.09942461"
"V5","0.00400000","0.09902355"
"V6","0.00500000","0.09855881"
"V7","0.00600000","0.09805266"
"V8","0.00700000","0.09752594"
"V9","0.00800000","0.09699794"
"V10","0.0090000","0.0964865"
"V11","0.01000000","0.09600793"
"V12","0.01100000","0.09557707"
"V13","0.01200000","0.09520727"
"V14","0.01300000","0.09491038"
"V15","0.01400000","0.09469677"
"V16","0.01500000","0.09457532"
"V17","0.01600000","0.09455343"
"V18","0.01700000","0.09463703"
"V19","0.01800000","0.09483015"
"V20","0.01900000","0.09511908"
"V21","0.02000000","0.09548217"
"V22","0.02100000","0.09590225"
"V23","0.02200000","0.09636352"
"V24","0.02300000","0.09685155"
"V25","0.02400000","0.09735327"
"V26","0.02500000","0.09785699"
"V27","0.02600000","0.09835238"
"V28","0.02700000","0.09882865"
"V29","0.02800000","0.09927985"
"V30","0.02900000","0.09971568"
"V31","0.0300000","0.1001454"
"V32","0.0310000","0.1005766"
"V33","0.0320000","0.1010157"
"V34","0.0330000","0.1014672"
"V35","0.0340000","0.1019345"
"V36","0.0350000","0.1024191"
"V37","0.0360000","0.1029214"
"V38","0.0370000","0.1034401"
"V39","0.0380000","0.1039722"
"V40","0.0390000","0.1045142"
"V41","0.0400000","0.1050531"
"V42","0.0410000","0.1055637"
"V43","0.0420000","0.1060235"
"V44","0.0430000","0.1064139"
"V45","0.0440000","0.1067204"
"V46","0.0450000","0.1069322"
"V47","0.0460000","0.1070428"
"V48","0.0470000","0.1070493"
"V49","0.0480000","0.1069528"
"V50","0.0490000","0.1067584"
"V51","0.0500000","0.1064704"
"V52","0.0510000","0.1061173"
"V53","0.052000","0.105739"
"V54","0.053000","0.105371"
"V55","0.054000","0.105044"
"V56","0.0550000","0.1047843"
"V57","0.0560000","0.1046134"
"V58","0.0570000","0.1045484"
"V59","0.0580000","0.1046017"
"V60","0.0590000","0.1047813"
"V61","0.0600000","0.1050903"
"V62","0.0610000","0.1055289"
"V63","0.0620000","0.1060829"
"V64","0.0630000","0.1067092"
"V65","0.0640000","0.1073658"
"V66","0.0650000","0.1080156"
"V67","0.0660000","0.1086255"
"V68","0.067000","0.109167"
"V69","0.0680000","0.1096157"
"V70","0.0690000","0.1099519"
"V71","0.07000","0.11016"
"V72","0.0710000","0.1102289"
"V73","0.0720000","0.1101512"
"V74","0.0730000","0.1099275"
"V75","0.0740000","0.1095939"
"V76","0.0750000","0.1091912"
"V77","0.0760000","0.1087565"
"V78","0.0770000","0.1083234"
"V79","0.0780000","0.1079217"
"V80","0.079000","0.107578"
"V81","0.080000","0.107315"
"V82","0.0810000","0.1071519"
"V83","0.0820000","0.1071043"
"V84","0.0830000","0.1071844"
"V85","0.0840000","0.1074013"
"V86","0.0850000","0.1077455"
"V87","0.0860000","0.1081855"
"V88","0.0870000","0.1086917"
"V89","0.0880000","0.1092381"
"V90","0.0890000","0.1098017"
"V91","0.0900000","0.1103628"
"V92","0.0910000","0.1109051"
"V93","0.0920000","0.1114154"
"V94","0.0930000","0.1118838"
"V95","0.0940000","0.1123036"
"V96","0.0950000","0.1126715"
"V97","0.0960000","0.1129862"
"V98","0.0970000","0.1132627"
"V99","0.0980000","0.1135249"
"V100","0.0990000","0.1137926"
"V101","0.1000000","0.1140815"
"V102","0.1010000","0.1144032"
"V103","0.102000","0.114765"
"V104","0.1030000","0.1151704"
"V105","0.1040000","0.1156184"
"V106","0.105000","0.116104"
"V107","0.1060000","0.1166182"
"V108","0.1070000","0.1171478"
"V109","0.1080000","0.1176787"
"V110","0.1090000","0.1181919"
"V111","0.1100000","0.1186647"
"V112","0.1110000","0.1190788"
"V113","0.1120000","0.1194205"
"V114","0.1130000","0.1196807"
"V115","0.1140000","0.1198548"
"V116","0.1150000","0.1199428"
"V117","0.1160000","0.1199493"
"V118","0.1170000","0.1198835"
"V119","0.118000","0.119759"
"V120","0.119000","0.119594"
"V121","0.120000","0.119407"
"V122","0.1210000","0.1192109"
"V123","0.1220000","0.1190181"
"V124","0.1230000","0.1188376"
"V125","0.1240000","0.1186746"
"V126","0.1250000","0.1185309"
"V127","0.1260000","0.1184044"
"V128","0.1270000","0.1182898"
"V129","0.1280000","0.1181777"
"V130","0.1290000","0.1180555"
"V131","0.1300000","0.1179069"
"V132","0.1310000","0.1177117"
"V133","0.1320000","0.1174512"
"V134","0.13300","0.11712"
"V135","0.1340000","0.1167166"
"V136","0.1350000","0.1162425"
"V137","0.1360000","0.1157025"
"V138","0.1370000","0.1151041"
"V139","0.1380000","0.1144581"
"V140","0.1390000","0.1137782"
"V141","0.1400000","0.1130811"
"V142","0.1410000","0.1123866"
"V143","0.1420000","0.1117176"
"V144","0.1430000","0.1110998"
"V145","0.1440000","0.1105577"
"V146","0.145000","0.110099"
"V147","0.1460000","0.1097262"
"V148","0.1470000","0.1094398"
"V149","0.1480000","0.1092379"
"V150","0.1490000","0.1091165"
"V151","0.1500000","0.1090693"
"V152","0.1510000","0.1090877"
"V153","0.1520000","0.1091612"
"V154","0.1530000","0.1092768"
"V155","0.1540000","0.1094192"
"V156","0.1550000","0.1095711"
"V157","0.1560000","0.1097148"
"V158","0.1570000","0.1098457"
"V159","0.158000","0.109966"
"V160","0.1590000","0.1100783"
"V161","0.1600000","0.1101857"
"V162","0.1610000","0.1102918"
"V163","0.1620000","0.1104007"
"V164","0.163000","0.110517"
"V165","0.1640000","0.1106456"
"V166","0.165000","0.110792"
"V167","0.1660000","0.1109623"
"V168","0.1670000","0.1111628"
"V169","0.1680000","0.1114003"
"V170","0.169000","0.111674"
"V171","0.1700000","0.1119736"
"V172","0.1710000","0.1122887"
"V173","0.1720000","0.1126093"
"V174","0.1730000","0.1129255"
"V175","0.1740000","0.1132277"
"V176","0.1750000","0.1135067"
"V177","0.1760000","0.1137535"
"V178","0.1770000","0.1139594"
"V179","0.1780000","0.1141161"
"V180","0.1790000","0.1142154"
"V181","0.1800000","0.1142497"
"V182","0.1810000","0.1142155"
"V183","0.1820000","0.1141196"
"V184","0.1830000","0.1139706"
"V185","0.1840000","0.1137776"
"V186","0.1850000","0.1135507"
"V187","0.1860000","0.1133001"
"V188","0.187000","0.113037"
"V189","0.1880000","0.1127732"
"V190","0.1890000","0.1125209"
"V191","0.1900000","0.1122932"
"V192","0.1910000","0.1121035"
"V193","0.1920000","0.1119662"
"V194","0.193000","0.111891"
"V195","0.1940000","0.1118791"
"V196","0.19500","0.11193"
"V197","0.1960000","0.1120406"
"V198","0.1970000","0.1122052"
"V199","0.1980000","0.1124161"
"V200","0.1990000","0.1126629"
"V201","0.2000000","0.1129328"
"V202","0.2010000","0.1132107"
"V203","0.2020000","0.1134792"
"V204","0.2030000","0.1137182"
"V205","0.2040000","0.1139055"
"V206","0.205000","0.114021"
"V207","0.2060000","0.1140539"
"V208","0.2070000","0.1139936"
"V209","0.2080000","0.1138338"
"V210","0.2090000","0.1135719"
"V211","0.2100000","0.1132096"
"V212","0.2110000","0.1127528"
"V213","0.2120000","0.1122112"
"V214","0.213000","0.111599"
"V215","0.2140000","0.1109341"
"V216","0.2150000","0.1102387"
"V217","0.216000","0.109539"
"V218","0.2170000","0.1088627"
"V219","0.2180000","0.1082271"
"V220","0.2190000","0.1076521"
"V221","0.2200000","0.1071541"
"V222","0.2210000","0.1067447"
"V223","0.2220000","0.1064305"
"V224","0.2230000","0.1062135"
"V225","0.2240000","0.1060908"
"V226","0.2250000","0.1060547"
"V227","0.2260000","0.1060928"
"V228","0.2270000","0.1061877"
"V229","0.2280000","0.1063175"
"V230","0.2290000","0.1064559"
"V231","0.2300000","0.1065846"
"V232","0.2310000","0.1066834"
"V233","0.2320000","0.1067325"
"V234","0.2330000","0.1067168"
"V235","0.2340000","0.1066255"
"V236","0.2350000","0.1064521"
"V237","0.2360000","0.1061946"
"V238","0.2370000","0.1058554"
"V239","0.2380000","0.1054412"
"V240","0.2390000","0.1049632"
"V241","0.2400000","0.1044368"
"V242","0.2410000","0.1038819"
"V243","0.242000","0.103315"
"V244","0.2430000","0.1027542"
"V245","0.2440000","0.1022211"
"V246","0.2450000","0.1017341"
"V247","0.2460000","0.1013081"
"V248","0.2470000","0.1009549"
"V249","0.2480000","0.1006829"
"V250","0.2490000","0.1004973"
"V251","0.2500000","0.1003999"
"V252","0.2510000","0.1003892"
"V253","0.2520000","0.1004607"
"V254","0.2530000","0.1006064"
"V255","0.2540000","0.1008178"
"V256","0.2550000","0.1010837"
"V257","0.2560000","0.1013847"
"V258","0.257000","0.101703"
"V259","0.258000","0.102022"
"V260","0.2590000","0.1023268"
"V261","0.2600000","0.1026042"
"V262","0.2610000","0.1028421"
"V263","0.2620000","0.1030304"
"V264","0.2630000","0.1031603"
"V265","0.2640000","0.1032244"
"V266","0.2650000","0.1032172"
"V267","0.2660000","0.1031341"
"V268","0.2670000","0.1029771"
"V269","0.2680000","0.1027602"
"V270","0.2690000","0.1024988"
"V271","0.2700000","0.1022083"
"V272","0.2710000","0.1019044"
"V273","0.2720000","0.1016033"
"V274","0.2730000","0.1013212"
"V275","0.2740000","0.1010746"
"V276","0.2750000","0.1008803"
"V277","0.2760000","0.1007555"
"V278","0.2770000","0.1007174"
"V279","0.2780000","0.1007835"
"V280","0.2790000","0.1009649"
"V281","0.2800000","0.1012585"
"V282","0.2810000","0.1016577"
"V283","0.282000","0.102154"
"V284","0.2830000","0.1027371"
"V285","0.2840000","0.1033949"
"V286","0.2850000","0.1041132"
"V287","0.286000","0.104876"
"V288","0.2870000","0.1056654"
"V289","0.2880000","0.1064617"
"V290","0.2890000","0.1072432"
"V291","0.2900000","0.1079865"
"V292","0.2910000","0.1086711"
"V293","0.29200","0.10929"
"V294","0.2930000","0.1098381"
"V295","0.2940000","0.1103121"
"V296","0.2950000","0.1107096"
"V297","0.29600","0.11103"
"V298","0.2970000","0.1112739"
"V299","0.2980000","0.1114431"
"V300","0.2990000","0.1115411"
"V301","0.3000000","0.1115724"
"V302","0.3010000","0.1115431"
