"","V1","V2"
"V1","0.0","0.1"
"V2","0.0010000","0.1004578"
"V3","0.0020000","0.1009834"
"V4","0.00300","0.10156"
"V5","0.004000","0.102172"
"V6","0.0050000","0.1028051"
"V7","0.0060000","0.1034464"
"V8","0.0070000","0.1040841"
"V9","0.0080000","0.1047079"
"V10","0.0090000","0.1053085"
"V11","0.0100000","0.1058781"
"V12","0.01100","0.10641"
"V13","0.0120000","0.1068991"
"V14","0.0130000","0.1073411"
"V15","0.0140000","0.1077335"
"V16","0.0150000","0.1080745"
"V17","0.0160000","0.1083641"
"V18","0.0170000","0.1086032"
"V19","0.0180000","0.1087943"
"V20","0.0190000","0.1089505"
"V21","0.0200000","0.1090899"
"V22","0.0210000","0.1092276"
"V23","0.0220000","0.1093769"
"V24","0.0230000","0.1095493"
"V25","0.0240000","0.1097547"
"V26","0.0250000","0.1100011"
"V27","0.026000","0.110295"
"V28","0.0270000","0.1106428"
"V29","0.028000","0.111047"
"V30","0.0290000","0.1114965"
"V31","0.0300000","0.1119807"
"V32","0.0310000","0.1124899"
"V33","0.0320000","0.1130156"
"V34","0.0330000","0.1135504"
"V35","0.0340000","0.1140882"
"V36","0.0350000","0.1146238"
"V37","0.0360000","0.1151533"
"V38","0.0370000","0.1156738"
"V39","0.0380000","0.1161836"
"V40","0.0390000","0.1166822"
"V41","0.0400000","0.1171771"
"V42","0.041000","0.117685"
"V43","0.0420000","0.1182205"
"V44","0.0430000","0.1187954"
"V45","0.0440000","0.1194189"
"V46","0.045000","0.120097"
"V47","0.0460000","0.1208333"
"V48","0.0470000","0.1216285"
"V49","0.0480000","0.1224803"
"V50","0.049000","0.123384"
"V51","0.0500000","0.1243352"
"V52","0.0510000","0.1253128"
"V53","0.0520000","0.1262879"
"V54","0.0530000","0.1272344"
"V55","0.0540000","0.1281297"
"V56","0.0550000","0.1289543"
"V57","0.0560000","0.1296917"
"V58","0.0570000","0.1303289"
"V59","0.0580000","0.1308558"
"V60","0.0590000","0.1312656"
"V61","0.0600000","0.1315546"
"V62","0.0610000","0.1317219"
"V63","0.062000","0.131777"
"V64","0.0630000","0.1317476"
"V65","0.0640000","0.1316606"
"V66","0.0650000","0.1315408"
"V67","0.066000","0.131411"
"V68","0.0670000","0.1312918"
"V69","0.0680000","0.1312018"
"V70","0.0690000","0.1311573"
"V71","0.0700000","0.1311728"
"V72","0.0710000","0.1312605"
"V73","0.0720000","0.1314307"
"V74","0.0730000","0.1316882"
"V75","0.0740000","0.1320215"
"V76","0.0750000","0.1324169"
"V77","0.0760000","0.1328617"
"V78","0.0770000","0.1333441"
"V79","0.0780000","0.1338535"
"V80","0.0790000","0.1343798"
"V81","0.0800000","0.1349144"
"V82","0.0810000","0.1354491"
"V83","0.0820000","0.1359771"
"V84","0.0830000","0.1364924"
"V85","0.0840000","0.1369903"
"V86","0.0850000","0.1374726"
"V87","0.0860000","0.1379442"
"V88","0.0870000","0.1384095"
"V89","0.088000","0.138872"
"V90","0.0890000","0.1393344"
"V91","0.0900000","0.1397986"
"V92","0.0910000","0.1402654"
"V93","0.0920000","0.1407352"
"V94","0.0930000","0.1412072"
"V95","0.0940000","0.1416799"
"V96","0.0950000","0.1421511"
"V97","0.0960000","0.1426173"
"V98","0.0970000","0.1430772"
"V99","0.0980000","0.1435314"
"V100","0.0990000","0.1439813"
"V101","0.1000000","0.1444288"
"V102","0.1010000","0.1448758"
"V103","0.1020000","0.1453252"
