"","V1","V2"
"V1","0","0"
"V2","0.001","0.001"
"V3","0.002","0.002"
"V4","0.003","0.003"
"V5","0.004","0.004"
"V6","0.005","0.005"
"V7","0.006","0.006"
"V8","0.007","0.007"
"V9","0.008","0.008"
"V10","0.009","0.009"
"V11","0.01","0.01"
"V12","0.011","0.011"
"V13","0.012","0.012"
"V14","0.013","0.013"
"V15","0.014","0.014"
"V16","0.015","0.015"
"V17","0.016","0.016"
"V18","0.017","0.017"
"V19","0.018","0.018"
"V20","0.019","0.019"
"V21","0.02","0.02"
"V22","0.021","0.021"
"V23","0.022","0.022"
"V24","0.023","0.023"
"V25","0.024","0.024"
"V26","0.025","0.025"
"V27","0.026","0.026"
"V28","0.027","0.027"
"V29","0.028","0.028"
"V30","0.029","0.029"
"V31","0.03","0.03"
"V32","0.031","0.031"
"V33","0.032","0.032"
"V34","0.033","0.033"
"V35","0.034","0.034"
"V36","0.035","0.035"
"V37","0.036","0.036"
"V38","0.037","0.037"
"V39","0.038","0.038"
"V40","0.039","0.039"
"V41","0.04","0.04"
"V42","0.041","0.041"
"V43","0.042","0.042"
"V44","0.043","0.043"
"V45","0.044","0.044"
"V46","0.045","0.045"
"V47","0.046","0.046"
"V48","0.047","0.047"
"V49","0.048","0.048"
"V50","0.049","0.049"
"V51","0.05","0.05"
"V52","0.051","0.051"
"V53","0.052","0.052"
"V54","0.053","0.053"
"V55","0.054","0.054"
"V56","0.055","0.055"
"V57","0.056","0.056"
"V58","0.057","0.057"
"V59","0.058","0.058"
"V60","0.059","0.059"
"V61","0.06","0.06"
"V62","0.061","0.061"
"V63","0.062","0.062"
"V64","0.063","0.063"
"V65","0.064","0.064"
"V66","0.065","0.065"
"V67","0.066","0.066"
"V68","0.067","0.067"
"V69","0.068","0.068"
"V70","0.069","0.069"
"V71","0.07","0.07"
"V72","0.071","0.071"
"V73","0.072","0.072"
"V74","0.073","0.073"
"V75","0.074","0.074"
"V76","0.075","0.075"
"V77","0.076","0.076"
"V78","0.077","0.077"
"V79","0.078","0.078"
"V80","0.079","0.079"
"V81","0.08","0.08"
"V82","0.081","0.081"
"V83","0.082","0.082"
"V84","0.083","0.083"
"V85","0.084","0.084"
"V86","0.085","0.085"
"V87","0.086","0.086"
"V88","0.087","0.087"
"V89","0.088","0.088"
"V90","0.089","0.089"
"V91","0.09","0.09"
"V92","0.091","0.091"
"V93","0.092","0.092"
"V94","0.093","0.093"
"V95","0.094","0.094"
"V96","0.095","0.095"
"V97","0.096","0.096"
"V98","0.097","0.097"
"V99","0.098","0.098"
"V100","0.099","0.099"
"V101","0.1","0.1"
"V102","0.101","0.101"
"V103","0.102","0.102"
"V104","0.103","0.103"
"V105","0.104","0.104"
"V106","0.105","0.105"
"V107","0.106","0.106"
"V108","0.107","0.107"
"V109","0.108","0.108"
"V110","0.109","0.109"
"V111","0.11","0.11"
"V112","0.111","0.111"
"V113","0.112","0.112"
"V114","0.113","0.113"
"V115","0.114","0.114"
"V116","0.115","0.115"
"V117","0.116","0.116"
"V118","0.117","0.117"
"V119","0.118","0.118"
"V120","0.119","0.119"
"V121","0.12","0.12"
"V122","0.121","0.121"
"V123","0.122","0.122"
"V124","0.123","0.123"
"V125","0.124","0.124"
"V126","0.125","0.125"
"V127","0.126","0.126"
"V128","0.127","0.127"
"V129","0.128","0.128"
"V130","0.129","0.129"
"V131","0.13","0.13"
"V132","0.131","0.131"
"V133","0.132","0.132"
"V134","0.133","0.133"
"V135","0.134","0.134"
"V136","0.135","0.135"
"V137","0.136","0.136"
"V138","0.137","0.137"
"V139","0.138","0.138"
"V140","0.139","0.139"
"V141","0.14","0.14"
"V142","0.141","0.141"
"V143","0.142","0.142"
"V144","0.143","0.143"
"V145","0.144","0.144"
"V146","0.145","0.145"
"V147","0.146","0.146"
"V148","0.147","0.147"
"V149","0.148","0.148"
"V150","0.149","0.149"
"V151","0.15","0.15"
"V152","0.151","0.151"
"V153","0.152","0.152"
"V154","0.153","0.153"
"V155","0.154","0.154"
"V156","0.155","0.155"
"V157","0.156","0.156"
"V158","0.157","0.157"
"V159","0.158","0.158"
"V160","0.159","0.159"
"V161","0.16","0.16"
"V162","0.161","0.161"
"V163","0.162","0.162"
"V164","0.163","0.163"
"V165","0.164","0.164"
"V166","0.165","0.165"
"V167","0.166","0.166"
"V168","0.167","0.167"
"V169","0.168","0.168"
"V170","0.169","0.169"
"V171","0.17","0.17"
"V172","0.171","0.171"
"V173","0.172","0.172"
"V174","0.173","0.173"
"V175","0.174","0.174"
"V176","0.175","0.175"
"V177","0.176","0.176"
"V178","0.177","0.177"
"V179","0.178","0.178"
"V180","0.179","0.179"
"V181","0.18","0.18"
"V182","0.181","0.181"
"V183","0.182","0.182"
"V184","0.183","0.183"
"V185","0.184","0.184"
"V186","0.185","0.185"
"V187","0.186","0.186"
"V188","0.187","0.187"
"V189","0.188","0.188"
"V190","0.189","0.189"
"V191","0.19","0.19"
"V192","0.191","0.191"
"V193","0.192","0.192"
"V194","0.193","0.193"
"V195","0.194","0.194"
"V196","0.195","0.195"
"V197","0.196","0.196"
"V198","0.197","0.197"
"V199","0.198","0.198"
"V200","0.199","0.199"
"V201","0.2","0.2"
"V202","0.201","0.201"
"V203","0.202","0.202"
"V204","0.203","0.203"
"V205","0.204","0.204"
"V206","0.205","0.205"
"V207","0.206","0.206"
"V208","0.207","0.207"
"V209","0.208","0.208"
"V210","0.209","0.209"
"V211","0.21","0.21"
"V212","0.211","0.211"
"V213","0.212","0.212"
"V214","0.213","0.213"
"V215","0.214","0.214"
"V216","0.215","0.215"
"V217","0.216","0.216"
