"","V1","V2","V3"
"V1","0","2","2"
"V2","0.001000","1.998747","1.998023"
"V3","0.002000","1.999646","1.996916"
"V4","0.003000","2.002438","1.996693"
"V5","0.004000","2.006810","1.997349"
"V6","0.005000","2.012389","1.998848"
"V7","0.006000","2.018744","2.001137"
"V8","0.007000","2.025388","2.004132"
"V9","0.008000","2.031777","2.007730"
"V10","0.009000","2.037413","2.011780"
"V11","0.010000","2.041961","2.016062"
"V12","0.011000","2.045153","2.020330"
"V13","0.012000","2.046837","2.024304"
"V14","0.013000","2.046964","2.027699"
"V15","0.014000","2.045671","2.030188"
"V16","0.015000","2.043171","2.031481"
"V17","0.016000","2.039725","2.031353"
"V18","0.017000","2.035639","2.029643"
"V19","0.018000","2.031266","2.026252"
"V20","0.019000","2.026998","2.021149"
"V21","0.020000","2.023148","2.014413"
"V22","0.02100","2.01996","2.00624"
"V23","0.022000","2.017592","1.996890"
"V24","0.023000","2.016105","1.986699"
"V25","0.024000","2.015473","1.976058"
"V26","0.025000","2.015564","1.965377"
"V27","0.026000","2.016122","1.955095"
"V28","0.027000","2.016863","1.945583"
"V29","0.028000","2.017493","1.937126"
"V30","0.029000","2.017706","1.929928"
"V31","0.030000","2.017181","1.924113"
"V32","0.031000","2.015634","1.919707"
"V33","0.032000","2.012903","1.916580"
"V34","0.033000","2.008902","1.914519"
"V35","0.034000","2.003641","1.913253"
"V36","0.035000","1.997229","1.912457"
"V37","0.036000","1.989870","1.911759"
"V38","0.037000","1.981823","1.910812"
"V39","0.038000","1.973444","1.909298"
"V40","0.039000","1.965077","1.906980"
"V41","0.040000","1.957042","1.903720"
"V42","0.041000","1.949629","1.899481"
"V43","0.042000","1.943103","1.894323"
"V44","0.043000","1.937673","1.888389"
"V45","0.044000","1.933422","1.881943"
"V46","0.045000","1.930355","1.875303"
"V47","0.046000","1.928405","1.868772"
"V48","0.047000","1.927431","1.862643"
"V49","0.048000","1.927219","1.857193"
"V50","0.049000","1.927506","1.852656"
"V51","0.050000","1.928022","1.849123"
"V52","0.051000","1.928486","1.846581"
"V53","0.052000","1.928678","1.844912"
"V54","0.053000","1.928435","1.843900"
"V55","0.054000","1.927652","1.843222"
"V56","0.055000","1.926280","1.842475"
"V57","0.056000","1.924367","1.841247"
"V58","0.057000","1.922063","1.839078"
"V59","0.058000","1.919547","1.835604"
"V60","0.059000","1.917021","1.830572"
"V61","0.060000","1.914716","1.823840"
"V62","0.061000","1.912884","1.815374"
"V63","0.062000","1.911753","1.805274"
"V64","0.063000","1.911484","1.793884"
"V65","0.064000","1.912186","1.781669"
"V66","0.065000","1.913894","1.769161"
"V67","0.066000","1.916567","1.756963"
"V68","0.067000","1.920093","1.745748"
"V69","0.068000","1.924299","1.736211"
"V70","0.069000","1.928956","1.728924"
"V71","0.070000","1.933782","1.724378"
