"","V1","V2"
"V1","0.0","0.1"
"V2","0.0010000","0.1003096"
"V3","0.0020000","0.1006025"
"V4","0.0030000","0.1008786"
"V5","0.004000","0.101138"
"V6","0.0050000","0.1013809"
"V7","0.0060000","0.1016072"
"V8","0.0070000","0.1018171"
"V9","0.0080000","0.1020107"
"V10","0.009000","0.102188"
"V11","0.0100000","0.1023492"
"V12","0.0110000","0.1024944"
"V13","0.0120000","0.1026238"
"V14","0.0130000","0.1027376"
"V15","0.0140000","0.1028358"
"V16","0.0150000","0.1029187"
"V17","0.0160000","0.1029864"
"V18","0.0170000","0.1030392"
"V19","0.0180000","0.1030774"
"V20","0.019000","0.103101"
"V21","0.0200000","0.1031104"
"V22","0.0210000","0.1031057"
"V23","0.0220000","0.1030874"
"V24","0.0230000","0.1030555"
"V25","0.0240000","0.1030105"
"V26","0.0250000","0.1029526"
"V27","0.0260000","0.1028822"
"V28","0.0270000","0.1027994"
"V29","0.0280000","0.1027048"
"V30","0.0290000","0.1025985"
"V31","0.0300000","0.1024811"
"V32","0.0310000","0.1023527"
"V33","0.0320000","0.1022137"
"V34","0.0330000","0.1020645"
"V35","0.0340000","0.1019054"
"V36","0.0350000","0.1017369"
"V37","0.0360000","0.1015593"
"V38","0.037000","0.101373"
"V39","0.0380000","0.1011785"
"V40","0.039000","0.100976"
"V41","0.0400000","0.1007661"
"V42","0.041000","0.100549"
"V43","0.0420000","0.1003253"
"V44","0.0430000","0.1000953"
"V45","0.04400000","0.09985935"
"V46","0.04500000","0.09961795"
"V47","0.04600000","0.09937149"
"V48","0.04700000","0.09912036"
"V49","0.04800000","0.09886498"
"V50","0.04900000","0.09860575"
"V51","0.05000000","0.09834311"
"V52","0.05100000","0.09807746"
"V53","0.05200000","0.09780922"
"V54","0.05300000","0.09753881"
"V55","0.05400000","0.09726665"
"V56","0.05500000","0.09699317"
"V57","0.0560000","0.0967188"
"V58","0.05700000","0.09644395"
"V59","0.05800000","0.09616906"
"V60","0.05900000","0.09589456"
"V61","0.06000000","0.09562079"
"V62","0.06100000","0.09534812"
"V63","0.06200000","0.09507699"
"V64","0.0630000","0.0948078"
"V65","0.06400000","0.09454096"
"V66","0.06500000","0.09427687"
"V67","0.06600000","0.09401592"
"V68","0.06700000","0.09375849"
"V69","0.06800000","0.09350496"
"V70","0.06900000","0.09325571"
"V71","0.0700000","0.0930111"
"V72","0.07100000","0.09277149"
"V73","0.07200000","0.09253723"
"V74","0.07300000","0.09230866"
"V75","0.07400000","0.09208613"
"V76","0.07500000","0.09186996"
"V77","0.07600000","0.09166048"
"V78","0.077000","0.091458"
"V79","0.07800000","0.09126285"
"V80","0.07900000","0.09107532"
"V81","0.08000000","0.09089571"
"V82","0.08100000","0.09072432"
"V83","0.08200000","0.09056142"
"V84","0.0830000","0.0904073"
"V85","0.08400000","0.09026223"
"V86","0.08500000","0.09012647"
"V87","0.08600000","0.09000027"
"V88","0.0870000","0.0898839"
"V89","0.0880000","0.0897776"
"V90","0.0890000","0.0896816"
"V91","0.09000000","0.08959613"
"V92","0.09100000","0.08952143"
"V93","0.0920000","0.0894577"
"V94","0.09300000","0.08940517"
"V95","0.09400000","0.08936402"
"V96","0.0950000","0.0893344"
"V97","0.09600000","0.08931649"
"V98","0.09700000","0.08931047"
"V99","0.09800000","0.08931648"
"V100","0.0990000","0.0893347"
"V101","0.10000000","0.08936525"
"V102","0.10100000","0.08940827"
"V103","0.10200000","0.08946388"
"V104","0.1030000","0.0895322"
"V105","0.10400000","0.08961334"
"V106","0.10500000","0.08970738"
"V107","0.10600000","0.08981443"
"V108","0.10700000","0.08993455"
"V109","0.10800000","0.09006782"
"V110","0.10900000","0.09021429"
"V111","0.11000000","0.09037403"
"V112","0.11100000","0.09054706"
"V113","0.11200000","0.09073343"
"V114","0.11300000","0.09093315"
"V115","0.11400000","0.09114624"
"V116","0.11500000","0.09137272"
"V117","0.11600000","0.09161257"
"V118","0.11700000","0.09186578"
"V119","0.11800000","0.09213234"
"V120","0.1190000","0.0924122"
"V121","0.12000000","0.09270535"
"V122","0.12100000","0.09301171"
"V123","0.12200000","0.09333125"
"V124","0.12300000","0.09366389"
"V125","0.12400000","0.09400956"
"V126","0.12500000","0.09436818"
"V127","0.12600000","0.09473965"
"V128","0.12700000","0.09512387"
"V129","0.12800000","0.09552073"
"V130","0.12900000","0.09593012"
"V131","0.1300000","0.0963519"
"V132","0.13100000","0.09678597"
"V133","0.13200000","0.09723227"
"V134","0.13300000","0.09769062"
"V135","0.13400000","0.09816083"
"V136","0.13500000","0.09864272"
"V137","0.13600000","0.09913607"
"V138","0.13700000","0.09964069"
"V139","0.1380000","0.1001564"
"V140","0.1390000","0.1006829"
"V141","0.14000","0.10122"
"V142","0.1410000","0.1017675"
"V143","0.1420000","0.1023252"
"V144","0.1430000","0.1028929"
"V145","0.1440000","0.1034702"
"V146","0.145000","0.104057"
"V147","0.1460000","0.1046529"
"V148","0.1470000","0.1052578"
"V149","0.1480000","0.1058714"
"V150","0.1490000","0.1064935"
"V151","0.1500000","0.1071236"
"V152","0.1510000","0.1077617"
"V153","0.1520000","0.1084074"
"V154","0.1530000","0.1090603"
"V155","0.1540000","0.1097203"
"V156","0.1550000","0.1103871"
"V157","0.1560000","0.1110603"
"V158","0.1570000","0.1117396"
"V159","0.1580000","0.1124248"
"V160","0.1590000","0.1131154"
"V161","0.1600000","0.1138113"
"V162","0.1610000","0.1145121"
"V163","0.1620000","0.1152174"
"V164","0.1630000","0.1159269"
"V165","0.1640000","0.1166403"
"V166","0.1650000","0.1173573"
"V167","0.1660000","0.1180774"
"V168","0.1670000","0.1188004"
"V169","0.1680000","0.1195259"
"V170","0.1690000","0.1202535"
