"","V1","V2"
"V1","0.0","0.1"
"V2","0.001000","0.100084"
"V3","0.0020000","0.1003142"
"V4","0.0030000","0.1006622"
"V5","0.0040000","0.1011021"
"V6","0.0050000","0.1016109"
"V7","0.0060000","0.1021682"
"V8","0.0070000","0.1027562"
"V9","0.0080000","0.1033597"
"V10","0.0090000","0.1039663"
"V11","0.0100000","0.1045661"
"V12","0.0110000","0.1051521"
"V13","0.0120000","0.1057196"
"V14","0.0130000","0.1062668"
"V15","0.0140000","0.1067945"
"V16","0.015000","0.107306"
"V17","0.0160000","0.1078074"
"V18","0.0170000","0.1083073"
"V19","0.0180000","0.1088151"
"V20","0.0190000","0.1093353"
"V21","0.0200000","0.1098727"
"V22","0.0210000","0.1104282"
"V23","0.0220000","0.1109989"
"V24","0.0230000","0.1115773"
"V25","0.024000","0.112152"
"V26","0.0250000","0.1127076"
"V27","0.0260000","0.1132271"
"V28","0.0270000","0.1136949"
"V29","0.0280000","0.1140846"
"V30","0.0290000","0.1143748"
"V31","0.0300000","0.1145507"
"V32","0.0310000","0.1146033"
"V33","0.0320000","0.1145303"
"V34","0.0330000","0.1143354"
"V35","0.0340000","0.1140286"
"V36","0.0350000","0.1136263"
"V37","0.0360000","0.1131509"
"V38","0.0370000","0.1126313"
"V39","0.0380000","0.1120937"
"V40","0.0390000","0.1115708"
"V41","0.0400000","0.1110974"
"V42","0.0410000","0.1107018"
"V43","0.0420000","0.1104052"
"V44","0.0430000","0.1102221"
"V45","0.04400","0.11016"
"V46","0.0450000","0.1102197"
"V47","0.0460000","0.1103951"
"V48","0.0470000","0.1106733"
"V49","0.0480000","0.1110417"
"V50","0.0490000","0.1114704"
"V51","0.0500000","0.1119217"
"V52","0.0510000","0.1123627"
"V53","0.0520000","0.1127657"
"V54","0.0530000","0.1131078"
"V55","0.0540000","0.1133713"
"V56","0.0550000","0.1135434"
"V57","0.0560000","0.1136164"
"V58","0.0570000","0.1135874"
"V59","0.0580000","0.1134587"
"V60","0.0590000","0.1132353"
"V61","0.0600000","0.1129396"
"V62","0.0610000","0.1125979"
"V63","0.0620000","0.1122327"
"V64","0.063000","0.111863"
"V65","0.0640000","0.1115039"
"V66","0.065000","0.111167"
"V67","0.06600","0.11086"
"V68","0.0670000","0.1105873"
"V69","0.0680000","0.1103492"
"V70","0.0690000","0.1101437"
"V71","0.0700000","0.1099647"
"V72","0.071000","0.109789"
"V73","0.0720000","0.1095958"
"V74","0.0730000","0.1093691"
"V75","0.074000","0.109098"
"V76","0.0750000","0.1087762"
"V77","0.0760000","0.1084026"
"V78","0.0770000","0.1079806"
"V79","0.0780000","0.1075188"
"V80","0.0790000","0.1070304"
"V81","0.0800000","0.1065315"
"V82","0.0810000","0.1060431"
"V83","0.0820000","0.1056042"
"V84","0.0830000","0.1052486"
"V85","0.0840000","0.1050031"
"V86","0.0850000","0.1048875"
"V87","0.0860000","0.1049145"
"V88","0.0870000","0.1050898"
"V89","0.0880000","0.1054121"
"V90","0.089000","0.105873"
"V91","0.0900000","0.1064572"
"V92","0.0910000","0.1071468"
"V93","0.0920000","0.1079104"
"V94","0.0930000","0.1086944"
"V95","0.0940000","0.1094512"
"V96","0.09500","0.11014"
"V97","0.0960000","0.1107268"
"V98","0.0970000","0.1111845"
"V99","0.0980000","0.1114929"
"V100","0.0990000","0.1116385"
"V101","0.1000000","0.1116148"
"V102","0.1010000","0.1114221"
"V103","0.1020000","0.1110646"
"V104","0.1030000","0.1105705"
"V105","0.1040000","0.1099905"
"V106","0.1050000","0.1093713"
"V107","0.1060000","0.1087553"
"V108","0.1070000","0.1081804"
"V109","0.1080000","0.1076803"
"V110","0.109000","0.107284"
"V111","0.1100000","0.1070164"
"V112","0.1110000","0.1068978"
"V113","0.1120000","0.1069443"
"V114","0.1130000","0.1071675"
"V115","0.1140000","0.1075522"
"V116","0.1150000","0.1080616"
"V117","0.1160000","0.1086602"
"V118","0.1170000","0.1093143"
"V119","0.1180000","0.1099918"
"V120","0.1190000","0.1106622"
"V121","0.1200000","0.1112968"
"V122","0.1210000","0.1118682"
"V123","0.1220000","0.1123512"
"V124","0.1230000","0.1127216"
"V125","0.1240000","0.1129588"
"V126","0.1250000","0.1130662"
"V127","0.1260000","0.1130655"
"V128","0.1270000","0.1129785"
"V129","0.1280000","0.1128269"
"V130","0.1290000","0.1126321"
"V131","0.1300000","0.1124154"
"V132","0.1310000","0.1121979"
"V133","0.1320000","0.1120006"
"V134","0.1330000","0.1118442"
"V135","0.1340000","0.1117493"
"V136","0.1350000","0.1117359"
"V137","0.1360000","0.1118094"
"V138","0.1370000","0.1119564"
"V139","0.138000","0.112163"
"V140","0.1390000","0.1124156"
"V141","0.1400000","0.1127015"
"V142","0.1410000","0.1130081"
"V143","0.1420000","0.1133236"
"V144","0.1430000","0.1136365"
"V145","0.144000","0.113936"
"V146","0.1450000","0.1142116"
"V147","0.1460000","0.1144533"
"V148","0.1470000","0.1146569"
"V149","0.1480000","0.1148376"
"V150","0.1490000","0.1150118"
"V151","0.1500000","0.1151938"
"V152","0.1510000","0.1153956"
"V153","0.1520000","0.1156268"
"V154","0.153000","0.115895"
"V155","0.1540000","0.1162051"
"V156","0.15500","0.11656"
"V157","0.1560000","0.1169603"
"V158","0.1570000","0.1174043"
"V159","0.1580000","0.1178895"
"V160","0.1590000","0.1183951"
"V161","0.1600000","0.1188889"
"V162","0.1610000","0.1193424"
"V163","0.1620000","0.1197311"
"V164","0.163000","0.120034"
"V165","0.164000","0.120234"
"V166","0.1650000","0.1203179"
"V167","0.1660000","0.1202761"
"V168","0.1670000","0.1201028"
"V169","0.168000","0.119796"
"V170","0.1690000","0.1193565"
"V171","0.1700000","0.1187981"
"V172","0.1710000","0.1181578"
"V173","0.1720000","0.1174715"
"V174","0.1730000","0.1167726"
"V175","0.174000","0.116092"
"V176","0.175000","0.115458"
"V177","0.1760000","0.1148964"
"V178","0.1770000","0.1144305"
"V179","0.1780000","0.1140809"
"V180","0.1790000","0.1138657"
"V181","0.1800000","0.1138008"
"V182","0.181000","0.113892"
"V183","0.1820000","0.1141173"
"V184","0.1830000","0.1144497"
"V185","0.1840000","0.1148625"
"V186","0.1850000","0.1153292"
"V187","0.1860000","0.1158235"
"V188","0.1870000","0.1163193"
"V189","0.1880000","0.1167907"
"V190","0.1890000","0.1172121"
"V191","0.1900000","0.1175581"
"V192","0.1910000","0.1178034"
"V193","0.1920000","0.1179271"
"V194","0.1930000","0.1179294"
"V195","0.1940000","0.1178185"
"V196","0.1950000","0.1176029"
"V197","0.1960000","0.1172918"
"V198","0.1970000","0.1168951"
"V199","0.1980000","0.1164227"
"V200","0.1990000","0.1158856"
"V201","0.2000000","0.1152951"
"V202","0.2010000","0.1146628"
"V203","0.2020000","0.1140012"
"V204","0.2030000","0.1133229"
"V205","0.204000","0.112632"
"V206","0.2050000","0.1119228"
"V207","0.2060000","0.1111918"
"V208","0.207000","0.110438"
"V209","0.2080000","0.1096638"
"V210","0.209000","0.108874"
"V211","0.2100000","0.1080763"
"V212","0.2110000","0.1072814"
"V213","0.2120000","0.1065025"
"V214","0.2130000","0.1057559"
"V215","0.2140000","0.1050603"
"V216","0.2150000","0.1044308"
"V217","0.2160000","0.1038954"
