"","V1","V2","V3"
"V1","0","1","1"
"V2","0.0010000","0.9968523","0.9968550"
"V3","0.0020000","0.9937223","0.9937331"
"V4","0.0030000","0.9906034","0.9906278"
"V5","0.0040000","0.9874899","0.9875335"
"V6","0.0050000","0.9843769","0.9844455"
"V7","0.0060000","0.9812605","0.9813601"
"V8","0.0070000","0.9781374","0.9782741"
"V9","0.0080000","0.9750052","0.9751857"
"V10","0.0090000","0.9718625","0.9720935"
"V11","0.0100000","0.9687085","0.9689973"
"V12","0.0110000","0.9655433","0.9658975"
"V13","0.0120000","0.9623679","0.9627957"
"V14","0.0130000","0.9591840","0.9596941"
"V15","0.0140000","0.9559944","0.9565958"
"V16","0.0150000","0.9528024","0.9535049"
"V17","0.0160000","0.9496122","0.9504262"
"V18","0.0170000","0.9464290","0.9473656"
"V19","0.0180000","0.9432586","0.9443296"
"V20","0.0190000","0.9401078","0.9413257"
"V21","0.0200000","0.9369841","0.9383624"
"V22","0.0210000","0.9338959","0.9354486"
"V23","0.0220000","0.9308461","0.9325857"
"V24","0.0230000","0.9278349","0.9297674"
"V25","0.0240000","0.9248631","0.9269886"
"V26","0.0250000","0.9219301","0.9242433"
"V27","0.0260000","0.9190339","0.9215246"
"V28","0.0270000","0.9161708","0.9188246"
"V29","0.0280000","0.9133359","0.9161347"
"V30","0.0290000","0.9105225","0.9134450"
"V31","0.0300000","0.9077226","0.9107451"
"V32","0.0310000","0.9049267","0.9080235"
"V33","0.0320000","0.9021267","0.9052666"
"V34","0.0330000","0.8993147","0.9024752"
"V35","0.0340000","0.8964825","0.8996575"
"V36","0.0350000","0.8936232","0.8968215"
"V37","0.0360000","0.8907315","0.8939755"
"V38","0.0370000","0.8878036","0.8911282"
"V39","0.0380000","0.8848368","0.8882885"
"V40","0.0390000","0.8818301","0.8854655"
"V41","0.0400000","0.8787840","0.8826684"
"V42","0.0410000","0.8757001","0.8799067"
"V43","0.0420000","0.8725817","0.8771903"
"V44","0.0430000","0.8694334","0.8745292"
"V45","0.0440000","0.8662612","0.8719335"
"V46","0.0450000","0.8630708","0.8694097"
"V47","0.0460000","0.8598696","0.8669435"
"V48","0.0470000","0.8566676","0.8645164"
"V49","0.0480000","0.8534742","0.8621118"
"V50","0.0490000","0.8502984","0.8597154"
"V51","0.0500000","0.8471486","0.8573146"
"V52","0.0510000","0.8440327","0.8548993"
"V53","0.0520000","0.8409585","0.8524611"
"V54","0.0530000","0.8379329","0.8499940"
"V55","0.0540000","0.8349625","0.8474937"
"V56","0.0550000","0.8320536","0.8449583"
"V57","0.0560000","0.8292119","0.8423869"
"V58","0.0570000","0.8264409","0.8397823"
"V59","0.0580000","0.8237378","0.8371736"
"V60","0.0590000","0.8210980","0.8345906"
"V61","0.0600000","0.8185168","0.8320587"
"V62","0.0610000","0.8159886","0.8295989"
